row_label_raw,row_label_full,col_0,Owners' capital VND,Share premium VND,Treasury shares VND,Investment and development fund VND,Undistributed earnings VND,Total VND,numeric__Owners' capital VND,numeric__Share premium VND,numeric__Treasury shares VND,numeric__Investment and development fund VND,numeric__Undistributed earnings VND,numeric__Total VND
As at 1 January 2024,As at 1 January 2024,As at 1 January 2024,"3,281,691,880,000","1,851,376,032,458","(3,384,090,000)","1,936,397,556,918","2,493,382,470,253","9,559,463,849,629",,,,,,
The 1st issuance of new shares under Employees' Share Ownership Plan,The 1st issuance of new shares under Employees' Share Ownership Plan,The 1st issuance of new shares under Employees' Share Ownership Plan,"65,599,920,000","65,531,920,000",,,,"131,131,840,000",,,,,,
The 2nd issuance of new shares under Employees' Share Ownership Plan,The 2nd issuance of new shares under Employees' Share Ownership Plan,The 2nd issuance of new shares under Employees' Share Ownership Plan,"33,455,960,000","33,401,960,000",,,,"66,857,920,000",,,,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,-,-,"1,863,517,667,643","1,863,517,667,643",,,,,,
Dividends appropriation (Note 24),Dividends appropriation (Note 24),Dividends appropriation (Note 24),-,-,-,-,"(673,803,076,400)","(673,803,076,400)",,,,,,
Appropriation of bonus and welfare fund (Note 19),Appropriation of bonus and welfare fund (Note 19),Appropriation of bonus and welfare fund (Note 19),-,-,-,-,"(98,555,000,000)","(98,555,000,000)",,,,,,
Appropriation to investment and development fund,Appropriation to investment and development fund,Appropriation to investment and development fund,-,-,-,"689,884,000,000","(689,884,000,000)",-,,,,,,
"Appropriation to the Board of Directors' operating fund and reward fund for the Board of Directors, Key Leaders","Appropriation to the Board of Directors' operating fund and reward fund for the Board of Directors, Key Leaders","Appropriation to the Board of Directors' operating fund and reward fund for the Board of Directors, Key Leaders",-,-,-,-,"(89,422,000,000)","(89,422,000,000)",,,,,,
As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,"3,380,747,760,000","1,950,309,912,458","(3,384,090,000)","2,626,281,556,918","2,805,236,061,496","10,759,191,200,872",,,,,,
Net profit for the period,Net profit for the period,Net profit for the period,-,-,-,-,"1,029,962,293,605","1,029,962,293,605",,,,,,
Dividends appropriation (Note 24) (*),Dividends appropriation (Note 24) (*),Dividends appropriation (Note 24) (*),-,-,-,-,"(202,743,130,200)","(202,743,130,200)",,,,,,
Appropriation of bonus and welfare fund (Note 19) (*),Appropriation of bonus and welfare fund (Note 19) (*),Appropriation of bonus and welfare fund (Note 19) (*),-,-,-,-,"(105,646,000,000)","(105,646,000,000)",,,,,,
Appropriation to investment and development fund (*),Appropriation to investment and development fund (*),Appropriation to investment and development fund (*),-,-,-,"845,166,000,000","(845,166,000,000)",-,,,,,,
"Appropriation to the Board of Directors' operating fund and reward fund for the Board of Directors, Key Leaders (*)","Appropriation to the Board of Directors' operating fund and reward fund for the Board of Directors, Key Leaders (*)","Appropriation to the Board of Directors' operating fund and reward fund for the Board of Directors, Key Leaders (*)",-,-,-,-,"(92,258,000,000)","(92,258,000,000)",,,,,,
As at 30 June 2025,As at 30 June 2025,As at 30 June 2025,"3,380,747,760,000","1,950,309,912,458","(3,384,090,000)","3,471,447,556,918","2,589,385,224,901","11,388,506,364,277",,,,,,
