row_label_raw,row_label_full,Code,RESOURCES,Note,As at,As at_1,numeric__RESOURCES,numeric__Note,numeric__As at,numeric__As at_1
Code,Code,Code,RESOURCES,Note,30.6.2025VND,31.12.2024VND,,,,
300,300,300,LIABILITIES,,"4,995,295,901,733","5,461,270,484,920",,,,
310,310,310,Current liabilities,,"4,984,664,271,983","5,450,658,855,170",,,,
311,310 > 311,311,Short-term trade accounts payable,12,"314,411,836,398","536,970,403,390",,12.0,,
312,310 > 312,312,Short-term advances from customers,13,"126,712,987,594","166,971,764,126",,13.0,,
313,310 > 313,313,Tax and other payables to the State,14,"294,903,315,392","362,640,407,802",,14.0,,
314,310 > 314,314,Payables to employees,15,"635,038,145,543","525,892,538,267",,15.0,,
315,310 > 315,315,Short-term accrued expenses,16,"231,964,488,708","341,225,615,207",,16.0,,
319,310 > 319,319,Other short-term payables,17,"90,305,861,597","61,247,723,294",,17.0,,
320,310 > 320,320,Short-term borrowings,18,"2,923,560,246,144","3,179,766,980,410",,18.0,,
321,321,321,Provision for short-term liabilities,20(a),"26,547,708,303","26,547,708,303",,,,
322,321 > 322,322,Bonus and welfare fund,19,"341,219,682,304","249,395,714,371",,19.0,,
330,330,330,Non-current liabilities,,"10,631,629,750","10,611,629,750",,,,
337,337,337,Other long-term payables,,"498,668,000","478,668,000",,,,
342,342,342,Provision for long-term liabilities,20(b),"10,132,961,750","10,132,961,750",,,,
400,400,400,OWNERS' EQUITY,,"11,388,506,364,277","10,759,191,200,872",,,,
410,410,410,Capital,,"11,388,506,364,277","10,759,191,200,872",,,,
411,411,411,Owners' capital,"22, 23","3,380,747,760,000","3,380,747,760,000",,,,
411a,411a,411a,- Ordinary shares with voting rights,,"3,380,747,760,000","3,380,747,760,000",,,,
412,411a > 412,412,Share premium,23,"1,950,309,912,458","1,950,309,912,458",,23.0,,
415,411a > 415,415,Treasury shares,23,"(3,384,090,000)","(3,384,090,000)",,23.0,,
418,411a > 418,418,Investment and development fund,23,"3,471,447,556,918","2,626,281,556,918",,23.0,,
421,411a > 421,421,Undistributed earnings,23,"2,589,385,224,901","2,805,236,061,496",,23.0,,
421a,421a,421a,- Undistributed profits of the previous years,,"1,559,422,931,296","941,718,393,853",,,,
421b,421b,421b,- Profits of the current period/year,,"1,029,962,293,605","1,863,517,667,643",,,,
440,440,440,TOTAL RESOURCES,,"16,383,802,266,010","16,220,461,685,792",,,,
