row_label_raw,row_label_full,Buildings and structures,5 - 25 years,numeric__5 - 25 years
Machinery and equipment,Machinery and equipment,Machinery and equipment,3 - 15 years,
Motor vehicles,Motor vehicles,Motor vehicles,5 - 10 years,
Office equipment,Office equipment,Office equipment,3 - 10 years,
Software,Software,Software,3 - 5 years,
