row_label_raw,row_label_full,col_0,col_1,30.6.2025VND,31.12.2024VND,numeric__col_1,numeric__30.6.2025VND,numeric__31.12.2024VND
(i),(i),(i),Phải thu ngắn hạn của khách hàng (Thuyết minh 4),Phải thu ngắn hạn của khách hàng (Thuyết minh 4),Phải thu ngắn hạn của khách hàng (Thuyết minh 4),,,
(i),(i) > (i),(i),Công ty TNHH MTV Thời trang CAO,178.812.248.250,191.254.639.109,,178812248250.0,191254639109.0
(ii),(ii),(ii),Trà trước cho người bán ngắn hạn (Thuyết minh 5),Trà trước cho người bán ngắn hạn (Thuyết minh 5),Trà trước cho người bán ngắn hạn (Thuyết minh 5),,,
(ii),(ii) > (ii),(ii),Hiệp Hội Kinh Doanh Vàng Việt Nam,50.000.000,-,,50000000.0,
(iii),(iii),(iii),Phải thu ngắn hạn khác (Thuyết minh 6(a)),Phải thu ngắn hạn khác (Thuyết minh 6(a)),Phải thu ngắn hạn khác (Thuyết minh 6(a)),,,
(iii),(iii) > (iii),(iii),Công ty TNHH MTV Thời trang CAO,28.677.957.836,22.682.784.012,,28677957836.0,22682784012.0
(iv),(iv),(iv),Phải trả người bán ngắn hạn (Thuyết minh 12),Phải trả người bán ngắn hạn (Thuyết minh 12),Phải trả người bán ngắn hạn (Thuyết minh 12),,,
(iv),(iv) > (iv),(iv),Công ty TNHH MTV Chế tác và Kinh doanh Trang sức PNJ,126.247.584.622,18.642.039.731,,126247584622.0,18642039731.0
(iv),(iv) > (iv),(iv),Công ty TNHH MTV Giám định PNJ,765.121.550,3.236.765.000,,765121550.0,3236765000.0
(iv),(iv) > (iv),(iv),Công ty Cổ phần Nội thất Không Gian Vàng,2.571.372,2.571.372,,2571372.0,2571372.0
(iv),(iv) > (iv),(iv),,127.015.277.544,21.881.376.103,,127015277544.0,21881376103.0
(v),(v),(v),Phải trả ngắn hạn khác (Thuyết minh 17),Phải trả ngắn hạn khác (Thuyết minh 17),Phải trả ngắn hạn khác (Thuyết minh 17),,,
(v),(v) > (v),(v),Thành viên Hội đồng Quản trị,55.915.538.598,28.680.375.345,,55915538598.0,28680375345.0
(vi),(vi),(vi),Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,,,
(vi),(vi) > (vi),(vi),Công ty TNHH MTV Giám định PNJ,300.000.000,300.000.000,,300000000.0,300000000.0
