row_label_raw,row_label_full,Số đầu năm,Năm nay > 14.638.792.800.000,VNDNăm trước > 7.130.654.950.000,numeric__Năm nay > 14.638.792.800.000,numeric__VNDNăm trước > 7.130.654.950.000
Phát hành cổ phiếu chia cổ tức,Phát hành cổ phiếu chia cổ tức,Phát hành cổ phiếu chia cổ tức,-,7.318.548.150.000,,7318548150000.0
Phát hành cổ phiếu theo chương trình ESOP,Phát hành cổ phiếu theo chương trình ESOP,Phát hành cổ phiếu theo chương trình ESOP,-,191.909.700.000,,191909700000.0
Hủy cổ phiếu quỹ,Hủy cổ phiếu quỹ,Hủy cổ phiếu quỹ,(5.025.640.000),(2.320.000.000),-5025640000.0,-2320000000.0
Số cuối năm,Số cuối năm,Số cuối năm,14.633.767.160.000,14.638.792.800.000,14633767160000.0,14638792800000.0
