row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Chênh lệch tỷ giá,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,7.130.654.950.000,558.110.430.986,(2.320.000.000),5.388.425.299,12.674.574.164.065,11.838.029.496,20.378.245.999.846,7130654950000.0,558110430986.0,-2320000000.0,5388425299.0,12674574164065.0,11838029496.0,20378245999846.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,4.099.763.027.305,1.951.397.634,4.101.714.424.939,,,,,4099763027305.0,1951397634.0,4101714424939.0
Phát hành cổ phiếu theo chương trình ESOP,Năm trước > Phát hành cổ phiếu theo chương trình ESOP,Phát hành cổ phiếu theo chương trình ESOP,191.909.700.000,-,-,-,-,-,191.909.700.000,191909700000.0,,,,,,191909700000.0
Hủy cổ phiếu quỹ,Năm trước > Hủy cổ phiếu quỹ,Hủy cổ phiếu quỹ,(2.320.000.000),-,2.320.000.000,-,-,-,-,-2320000000.0,,2320000000.0,,,,
Mua cổ phiếu quỹ,Năm trước > Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,(5.025.640.000),-,-,-,(5.025.640.000),,,-5025640000.0,,,,-5025640000.0
Phát hành cổ phiếu chia cổ tức,Năm trước > Phát hành cổ phiếu chia cổ tức,Phát hành cổ phiếu chia cổ tức,7.318.548.150.000,-,-,-,(7.318.548.150.000),-,-,7318548150000.0,,,,-7318548150000.0,,
Chia cổ tức tiền,Năm trước > Chia cổ tức tiền,Chia cổ tức tiền,-,-,-,-,(731.854.815.000),-,(731.854.815.000),,,,,-731854815000.0,,-731854815000.0
Góp vốn,Năm trước > Góp vốn,Góp vốn,-,-,-,-,-,718.670.000,718.670.000,,,,,,718670000.0,718670000.0
Chênh lệch tỷ giá,Năm trước > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,(3.126.822.209),-,-,(3.126.822.209),,,,-3126822209.0,,,-3126822209.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,14.638.792.800.000,558.110.430.986,(5.025.640.000),2.261.603.090,8.723.934.226.370,14.508.097.130,23.932.581.517.576,14638792800000.0,558110430986.0,-5025640000.0,2261603090.0,8723934226370.0,14508097130.0,23932581517576.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,14.638.792.800.000,558.110.430.986,(5.025.640.000),2.261.603.090,8.723.934.226.370,14.508.097.130,23.932.581.517.576,14638792800000.0,558110430986.0,-5025640000.0,2261603090.0,8723934226370.0,14508097130.0,23932581517576.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,167.669.392.704,159.762.235,167.829.154.939,,,,,167669392704.0,159762235.0,167829154939.0
Hủy cổ phiếu quỹ (i),Năm nay > Hủy cổ phiếu quỹ (i),Hủy cổ phiếu quỹ (i),(5.025.640.000),-,5.025.640.000,-,-,-,-,-5025640000.0,,5025640000.0,,,,
Mua cổ phiếu quỹ,Năm nay > Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,(9.783.280.000),-,-,(1.156.023.000),(10.939.303.000),,,-9783280000.0,,,-1156023000.0,-10939303000.0
Chia cổ tức tiền (ii),Năm nay > Chia cổ tức tiền (ii),Chia cổ tức tiền (ii),-,-,-,-,(731.280.023.500),(554.025.893),(731.834.049.393),,,,,-731280023500.0,-554025893.0,-731834049393.0
Góp vốn,Năm nay > Góp vốn,Góp vốn,-,-,-,-,-,443.220.000,443.220.000,,,,,,443220000.0,443220000.0
Chênh lệch tỷ giá,Năm nay > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,1.477.427.216,-,-,1.477.427.216,,,,1477427216.0,,,1477427216.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,14.633.767.160.000,558.110.430.986,(9.783.280.000),3.739.030.306,8.160.323.595.574,13.401.030.472,23.359.557.967.338,14633767160000.0,558110430986.0,-9783280000.0,3739030306.0,8160323595574.0,13401030472.0,23359557967338.0
