row_label_raw,row_label_full,col_0,Bàng cân đốikế toán hợp nhất,Bàng cân đốikế toán hợp nhất_1,Báo cáo kết quả hoạt độngkinh doanh hợp nhất,Báo cáo kết quả hoạt độngkinh doanh hợp nhất_1,numeric__Bàng cân đốikế toán hợp nhất,numeric__Bàng cân đốikế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt độngkinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt độngkinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,,,,
Dự phòng giảm giá hàng tồn kho,Tài sản thuế TNDN hoãn lại > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,40.889.779.384,72.410.732.281,(31.520.952.897),(64.156.572.478),40889779384.0,72410732281.0,-31520952897.0,-64156572478.0
Lợi nhuận chưa thực hiện,Tài sản thuế TNDN hoãn lại > Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,43.586.445.235,68.173.970.646,(24.587.525.411),7.642.922.724,43586445235.0,68173970646.0,-24587525411.0,7642922724.0
Các khoản chi phí phải trả,Tài sản thuế TNDN hoãn lại > Các khoản chi phí phải trả,Các khoản chi phí phải trả,3.099.299.272,32.676.975.900,(29.577.676.628),(104.966.902.222),3099299272.0,32676975900.0,-29577676628.0,-104966902222.0
Dự phòng chi phí bảo hành,Tài sản thuế TNDN hoãn lại > Dự phòng chi phí bảo hành,Dự phòng chi phí bảo hành,13.587.160.869,15.252.221.566,(1.665.060.697),(203.301.175),13587160869.0,15252221566.0,-1665060697.0,-203301175.0
Chênh lệch tỷ giá hối đoái,Tài sản thuế TNDN hoãn lại > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,(73.745.560),12.383.835,(86.129.395),41.714.634,-73745560.0,12383835.0,-86129395.0,41714634.0
,,,101.088.939.200,188.526.284.228,,,101088939200.0,188526284228.0,,
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,,,,
Trích trước lãi tiền gửi,Thuế TNDN hoãn lại phải trả > Trích trước lãi tiền gửi,Trích trước lãi tiền gửi,(1.168.691.414),-,(1.168.691.414),-,-1168691414.0,,-1168691414.0,
Chi phí thuế thu nhập hoãn lại,Thuế TNDN hoãn lại phải trả > Chi phí thuế thu nhập hoãn lại,Chi phí thuế thu nhập hoãn lại,Chi phí thuế thu nhập hoãn lại,Chi phí thuế thu nhập hoãn lại,(88.606.036.442),(161.642.138.517),,,-88606036442.0,-161642138517.0
