row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc",Phương tiện vận tải,Thiết bị văn phòng,VND Tổng cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,17.301.019.693.487,559.443.059.086,2.981.050.856.622,20.841.513.609.195,17301019693487.0,559443059086.0,2981050856622.0,20841513609195.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,288.677.762.256,-,106.232.770.241,394.910.532.497,288677762256.0,,106232770241.0,394910532497.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,157.066.619.117,-,278.592.914,157.345.212.031,157066619117.0,,278592914.0,157345212031.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(1.085.186.926.079),(1.199.407.243),(168.100.297.424),(1.254.486.630.746),-1085186926079.0,-1199407243.0,-168100297424.0,-1254486630746.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,16.661.577.148.781,558.243.651.843,2.919.461.922.353,20.139.282.722.977,16661577148781.0,558243651843.0,2919461922353.0,20139282722977.0
Trong đó:- Đã khấu hao hết,Nguyên giá > Trong đó:- Đã khấu hao hết,Trong đó:- Đã khấu hao hết,4.463.173.123.492,94.103.488.743,1.251.973.164.003,5.809.249.776.238,4463173123492.0,94103488743.0,1251973164003.0,5809249776238.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,(8.970.135.983.091),(305.086.891.370),(1.912.960.728.758),(11.188.183.603.219),-8970135983091.0,-305086891370.0,-1912960728758.0,-11188183603219.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(2.700.910.605.078),(79.517.051.501),(504.142.069.522),(3.284.569.726.101),-2700910605078.0,-79517051501.0,-504142069522.0,-3284569726101.0
Thanh lý,Giá trị khấu hao lũy kế > Thanh lý,Thanh lý,602.308.396.075,1.018.097.986,161.459.485.395,764.785.979.456,602308396075.0,1018097986.0,161459485395.0,764785979456.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,(11.068.738.192.094),(383.585.844.885),(2.255.643.312.885),(13.707.967.349.864),-11068738192094.0,-383585844885.0,-2255643312885.0,-13707967349864.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,8.330.883.710.396,254.356.167.716,1.068.090.127.864,9.653.330.005.976,8330883710396.0,254356167716.0,1068090127864.0,9653330005976.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,5.592.838.956.687,174.657.806.958,663.818.609.468,6.431.315.373.113,5592838956687.0,174657806958.0,663818609468.0,6431315373113.0
