row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu năm > 184.215.218.246,Tăng trong năm > 17.371.006.041.244,Giảm trong năm > (17.268.428.524.877),VND Số cuối năm > 286.792.734.613,numeric__Số đầu năm > 184.215.218.246,numeric__Tăng trong năm > 17.371.006.041.244,numeric__Giảm trong năm > (17.268.428.524.877),numeric__VND Số cuối năm > 286.792.734.613
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,538.726.813.052,433.257.176.515,(860.429.603.219),111.554.386.348,538726813052.0,433257176515.0,-860429603219.0,111554386348.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,40.700.519.362,243.661.955.928,(262.455.670.006),21.906.805.284,40700519362.0,243661955928.0,-262455670006.0,21906805284.0
Khác,Khác,Khác,601.527.303,45.935.682.586,(45.259.118.113),1.278.091.776,601527303.0,45935682586.0,-45259118113.0,1278091776.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,764.244.077.963,18.093.860.856.273,(18.436.572.916.215),421.532.018.021,764244077963.0,18093860856273.0,-18436572916215.0,421532018021.0
