row_label_raw,row_label_full,Công ty TNHH Sản phẩm Tiêu dùng Toshiba Việt Nam > Công ty TNHH LG Electronics Việt Nam Hải Phòng > Công ty TNHH Apple Việt Nam > Công ty TNHH Điện Máy AQUA Việt Nam,Số cuối năm > 374.086.979.559 > 337.324.152.646 > 271.572.476.999 > 234.776.763.766,VND Số đầu năm > 173.318.750.717 > 467.187.312.027 > 1.255.858.258.901 > 273.227.030.861,numeric__Số cuối năm > 374.086.979.559 > 337.324.152.646 > 271.572.476.999 > 234.776.763.766,numeric__VND Số đầu năm > 173.318.750.717 > 467.187.312.027 > 1.255.858.258.901 > 273.227.030.861
Công ty TNHH Điện tử Samsung HCMC CE Complex,Công ty TNHH Điện tử Samsung HCMC CE Complex,Công ty TNHH Điện tử Samsung HCMC CE Complex,168.254.308.570,293.593.305.321,168254308570.0,293593305321.0
Công ty Cổ phần Thế Giới Số,Công ty Cổ phần Thế Giới Số,Công ty Cổ phần Thế Giới Số,139.020.442.642,83.422.581.626,139020442642.0,83422581626.0
Công ty TNHH Panasonic Việt Nam,Công ty TNHH Panasonic Việt Nam,Công ty TNHH Panasonic Việt Nam,138.189.867.888,419.773.816.080,138189867888.0,419773816080.0
Công ty TNHH Sony Electronics Việt Nam,Công ty TNHH Sony Electronics Việt Nam,Công ty TNHH Sony Electronics Việt Nam,119.521.231.494,231.271.512.349,119521231494.0,231271512349.0
Khác,Khác,Khác,6.144.323.504.371,5.548.174.763.931,6144323504371.0,5548174763931.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,7.927.069.727.935,8.745.827.331.813,7927069727935.0,8745827331813.0
