row_label_raw,row_label_full,Chi phí thuế TNDNĐiều chỉnh chi phí thuế TNDN trích thiếu(thừa) trong những năm trước,Năm nay > 431.290.887.419 > 1.966.289.096,VNDNăm trước > 1.794.598.293.892 > (1.599.483.790),numeric__Năm nay > 431.290.887.419 > 1.966.289.096,numeric__VNDNăm trước > 1.794.598.293.892 > (1.599.483.790)
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,433.257.176.515,1.792.998.810.102,433257176515.0,1792998810102.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,88.606.036.442,161.642.138.517,88606036442.0,161642138517.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,521.863.212.957,1.954.640.948.619,521863212957.0,1954640948619.0
