row_label_raw,row_label_full,CHỈ TIÊU,MS,TM,Năm 2025VND,Năm 2024VND,numeric__MS,numeric__TM,numeric__Năm 2025VND,numeric__Năm 2024VND
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,,157.860.488.001,247.331.301.386,1.0,,157860488001.0,247331301386.0
2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,,,
- Khấu hao tài sản cố định và BĐS đầu tư,2. Điều chỉnh cho các khoản > - Khấu hao tài sản cố định và BĐS đầu tư,- Khấu hao tài sản cố định và BĐS đầu tư,02,,46.903.664.463,46.266.841.130,2.0,,46903664463.0,46266841130.0
- Các khoản dự phòng,2. Điều chỉnh cho các khoản > - Các khoản dự phòng,- Các khoản dự phòng,03,,16.038.545.075,(41.139.375.863),3.0,,16038545075.0,-41139375863.0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái chưa thực hiện","2. Điều chỉnh cho các khoản > - Lãi, lỗ chênh lệch tỷ giá hối đoái chưa thực hiện","- Lãi, lỗ chênh lệch tỷ giá hối đoái chưa thực hiện",04,,(67.569.290),(108.586.053),4.0,,-67569290.0,-108586053.0
"- Lãi, lỗ từ hoạt động đầu tư","2. Điều chỉnh cho các khoản > - Lãi, lỗ từ hoạt động đầu tư","- Lãi, lỗ từ hoạt động đầu tư",05,,(58.427.018.448),(59.259.892.698),5.0,,-58427018448.0,-59259892698.0
- Chỉ phí lãi vay,2. Điều chỉnh cho các khoản > - Chỉ phí lãi vay,- Chỉ phí lãi vay,06,,107.808.012.234,107.769.515.970,6.0,,107808012234.0,107769515970.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,270.116.122.035,300.859.803.872,8.0,,270116122035.0,300859803872.0
"- Tăng, giảm các khoản phải thu","2. Điều chỉnh cho các khoản > - Tăng, giảm các khoản phải thu","- Tăng, giảm các khoản phải thu",09,,161.890.576.328,265.940.567.790,9.0,,161890576328.0,265940567790.0
