row_label_raw,row_label_full,col_0,01/01/2025,Số phải nộp trong năm,Số đã nộp trong năm,31/12/2025,numeric__01/01/2025,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__31/12/2025
Phải nộp,Phải nộp,Phải nộp,229.203.463.779,114.176.549.553,108.467.999.927,234.912.013.405,229203463779.0,114176549553.0,108467999927.0,234912013405.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,948.218.031,45.787.619.623,44.963.359.173,1.772.478.481,948218031.0,45787619623.0,44963359173.0,1772478481.0
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,118.865.753,1.721.254.056,1.671.205.506,168.914.303,118865753.0,1721254056.0,1671205506.0,168914303.0
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,1.513.499.839,1.513.499.839,-,,1513499839.0,1513499839.0,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,26.655.620.373,34.936.856.289,33.690.405.175,27.902.071.487,26655620373.0,34936856289.0,33690405175.0,27902071487.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.159.542.067,9.368.456.169,9.325.696.616,1.202.301.620,1159542067.0,9368456169.0,9325696616.0,1202301620.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",100.461.578.805,8.690.101.715,14.599.079.075,94.552.601.445,100461578805.0,8690101715.0,14599079075.0,94552601445.0
Thuế bảo vệ môi trường và các loại thuế khác,Thuế bảo vệ môi trường và các loại thuế khác,Thuế bảo vệ môi trường và các loại thuế khác,99.859.638.750,11.159.723.453,1.705.716.134,109.313.646.069,99859638750.0,11159723453.0,1705716134.0,109313646069.0
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",-,999.038.409,999.038.409,-,,999038409.0,999038409.0,
Phải thu,Phải thu,Phải thu,9.384.827.816,-,4.000.000,9.388.827.816,9384827816.0,,4000000.0,9388827816.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.791.000.000,-,-,1.791.000.000,1791000000.0,,,1791000000.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,7.593.827.816,-,-,7.593.827.816,7593827816.0,,,7593827816.0
Thuế bảo vệ môi trường và các loại thuế khác,Thuế bảo vệ môi trường và các loại thuế khác,Thuế bảo vệ môi trường và các loại thuế khác,-,-,4.000.000,4.000.000,,,4000000.0,4000000.0
