row_label_raw,row_label_full,col_0,31/12/2025 (VND) > Giá gốc,31/12/2025 (VND) > Giá trị ghi sổ,01/01/2025 (VND) > Giá gốc,01/01/2025 (VND) > Giá trị ghi sổ,numeric__31/12/2025 (VND) > Giá gốc,numeric__31/12/2025 (VND) > Giá trị ghi sổ,numeric__01/01/2025 (VND) > Giá gốc,numeric__01/01/2025 (VND) > Giá trị ghi sổ
Ngắn hạn,Ngắn hạn,Ngắn hạn,47.637.204.624,47.637.204.624,26.034.898.871,26.034.898.871,47637204624.0,47637204624.0,26034898871.0,26034898871.0
Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),37.637.204.624,37.637.204.624,16.034.898.871,16.034.898.871,37637204624.0,37637204624.0,16034898871.0,16034898871.0
Các khoản đầu tư khác (ii),Các khoản đầu tư khác (ii),Các khoản đầu tư khác (ii),10.000.000.000,10.000.000.000,10.000.000.000,10.000.000.000,10000000000.0,10000000000.0,10000000000.0,10000000000.0
Tổng,Tổng,Tổng,47.637.204.624,47.637.204.624,26.034.898.871,26.034.898.871,47637204624.0,47637204624.0,26034898871.0,26034898871.0
