row_label_raw,row_label_full,Tên doanh nghiệp,Địa chỉ,Ngành nghề kinh doanh chính,Vốn nằm giữ,Quyền biểu quyết,numeric__Địa chỉ,numeric__Ngành nghề kinh doanh chính,numeric__Vốn nằm giữ,numeric__Quyền biểu quyết
Đầu tư vào Công ty con,Đầu tư vào Công ty con,Đầu tư vào Công ty con,Đầu tư vào Công ty con,Đầu tư vào Công ty con,Đầu tư vào Công ty con,Đầu tư vào Công ty con,,,,
Công ty Cổ phần One Capital Hospitality (****),Đầu tư vào Công ty con > Công ty Cổ phần One Capital Hospitality (****),Công ty Cổ phần One Capital Hospitality (****),Hà Nội,"Du lịch, Nhà hàng, Khách sạn","55,60%","55,60%",,,0.556,0.556
Công ty Cổ phần Phát triển Tài nguyên Thiên nhiên Đại Dương (*),Đầu tư vào Công ty con > Công ty Cổ phần Phát triển Tài nguyên Thiên nhiên Đại Dương (*),Công ty Cổ phần Phát triển Tài nguyên Thiên nhiên Đại Dương (*),Hà Nội,"Trồng rừng, chăm sóc rừng, khai thác gỗ, sân xuất gỗ","75,05%","75,05%",,,0.7505,0.7505
Công ty Cổ phần Sở giao dịch hàng hóa INFO (**),Đầu tư vào Công ty con > Công ty Cổ phần Sở giao dịch hàng hóa INFO (**),Công ty Cổ phần Sở giao dịch hàng hóa INFO (**),Hà Nội,Sản giao dịch hàng hóa,"100,00%","100,00%",,,1.0,1.0
Công ty TNHH Đầu tư Kinh doanh Bất động sản TKD Việt Nam (***),Đầu tư vào Công ty con > Công ty TNHH Đầu tư Kinh doanh Bất động sản TKD Việt Nam (***),Công ty TNHH Đầu tư Kinh doanh Bất động sản TKD Việt Nam (***),Hà Nội,Kinh doanh bất động sản,"100,00%","100,00%",,,1.0,1.0
Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,,,,
Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Đầu tư vào Công ty liên kết > Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Bắc Ninh,Xây dựng và thu giá dịch vụ sử dụng đường bộ,"21,00%","21,00%",,,0.21,0.21
