row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Chi phí thiết kế nhân hiệu, website",Chương trình phần mềm,Tài sản cố định vô hình khác,Tổng,numeric__Quyền sử dụng đất,"numeric__Chi phí thiết kế nhân hiệu, website",numeric__Chương trình phần mềm,numeric__Tài sản cố định vô hình khác,numeric__Tổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư tại 01/01/2025,NGUYÊN GIÁ > Số dư tại 01/01/2025,Số dư tại 01/01/2025,70.000.000.000,235.928.682,5.280.771.383,-,75.516.700.065,70000000000.0,235928682.0,5280771383.0,,75516700065.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,51.084.638.123,-,673.900.000,115.600.000,51.873.538.123,51084638123.0,,673900000.0,115600000.0,51873538123.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,51.084.638.123,-,215.900.000,115.000.000,51.415.538.123,51084638123.0,,215900000.0,115000000.0,51415538123.0
Tăng do hợp nhất,NGUYÊN GIÁ > Tăng do hợp nhất,Tăng do hợp nhất,-,-,458.000.000,-,458.000.000,,,458000000.0,,458000000.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,-,-,,,,,
Số dư tại 31/12/2025,Giảm trong năm > Số dư tại 31/12/2025,Số dư tại 31/12/2025,121.084.638.123,235.928.682,5.954.671.383,115.000.000,127.390.238.188,121084638123.0,235928682.0,5954671383.0,115000000.0,127390238188.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số dư tại 01/01/2025,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2025,Số dư tại 01/01/2025,15.949.367.099,235.928.682,3.668.355.118,-,19.853.650.899,15949367099.0,235928682.0,3668355118.0,,19853650899.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,2.763.670.197,-,889.294.901,12.650.002,3.665.615.100,2763670197.0,,889294901.0,12650002.0,3665615100.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,2.763.670.197,-,712.466.284,12.650.002,3.488.786.483,2763670197.0,,712466284.0,12650002.0,3488786483.0
Tăng do hợp nhất,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng do hợp nhất,Tăng do hợp nhất,-,-,176.828.617,-,176.828.617,,,176828617.0,,176828617.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,-,-,,,,,
Số dư tại 31/12/2025,Giảm trong năm > Số dư tại 31/12/2025,Số dư tại 31/12/2025,18.713.037.296,235.928.682,4.557.650.019,12.650.002,23.519.265.999,18713037296.0,235928682.0,4557650019.0,12650002.0,23519265999.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại 01/01/2025,GIÁ TRỊ CÒN LẠI > Tại 01/01/2025,Tại 01/01/2025,54.050.632.901,-,1.612.416.265,-,55.663.049.166,54050632901.0,,1612416265.0,,55663049166.0
Tại 31/12/2025,GIÁ TRỊ CÒN LẠI > Tại 31/12/2025,Tại 31/12/2025,102.371.600.827,-,1.397.021.364,102.349.998,103.870.972.189,102371600827.0,,1397021364.0,102349998.0,103870972189.0
