row_label_raw,row_label_full,Tên,Địa chỉ,Hoạt động kinh doanh chính,Ti lệ góp vốn,Ti lệ lợi ích,Ti lệ biểu quyết,numeric__Địa chỉ,numeric__Hoạt động kinh doanh chính,numeric__Ti lệ góp vốn,numeric__Ti lệ lợi ích,numeric__Ti lệ biểu quyết
Công ty con trục tiếp,Công ty con trục tiếp,Công ty con trục tiếp,Công ty con trục tiếp,Công ty con trục tiếp,Công ty con trục tiếp,Công ty con trục tiếp,Công ty con trục tiếp,,,,,
Công ty Cổ phần Tân Việt,Công ty con trục tiếp > Công ty Cổ phần Tân Việt,Công ty Cổ phần Tân Việt,Khánh Hòa,"Dịch vụ lưu trú, nhà hàng","51,42%","51,42%","51,42%",,,0.5142,0.5142,0.5142
Công ty Cổ phần One Capital Consumer (i),Công ty con trục tiếp > Công ty Cổ phần One Capital Consumer (i),Công ty Cổ phần One Capital Consumer (i),Hà Nội,"Sản xuất thực phẩm, sản xuất các loại bánh từ bột. Chế biến, bảo quản thịt và các sản phẩm từ thịt, thủy sản","50,21%","61,91%","61,95%",,,0.5021,0.6191,0.6195
Công ty Cổ phần Viptour – Togi,Công ty con trục tiếp > Công ty Cổ phần Viptour – Togi,Công ty Cổ phần Viptour – Togi,Hà Nội,Dịch vụ lưu trú,"86,13%","86,13%","86,13%",,,0.8613,0.8613,0.8613
Công ty Cổ phần Sao Hôm Nha Trang,Công ty con trục tiếp > Công ty Cổ phần Sao Hôm Nha Trang,Công ty Cổ phần Sao Hôm Nha Trang,Khánh Hòa,"Dịch vụ lưu trú, nhà hàng","99,9997%","99,9997%","99,9997%",,,0.999997,0.999997,0.999997
Quỹ đầu tư cơ hội đặc biệt Leadvisors (ii),Công ty con trục tiếp > Quỹ đầu tư cơ hội đặc biệt Leadvisors (ii),Quỹ đầu tư cơ hội đặc biệt Leadvisors (ii),Hà Nội,"Quản lý quỹ đầu tư chứng khoán, Công ty đầu tư chứng khoán","99,00%","99,62%","100,00%",,,0.99,0.9962000000000001,1.0
Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,,,,,
Công ty Cổ phần Kem Tràng Tiền Sở hữu gián tiếp thông qua Công ty Cổ phần One Capital Consumer,Công ty con gián tiếp > Công ty Cổ phần Kem Tràng Tiền Sở hữu gián tiếp thông qua Công ty Cổ phần One Capital Consumer,Công ty Cổ phần Kem Tràng Tiền Sở hữu gián tiếp thông qua Công ty Cổ phần One Capital Consumer,Hà Nội,Chế biến sữa và các sản phẩm từ sữa,,"61,89%","99,98%",,,,0.6189,0.9998
Công ty Cổ phần Bánh Givral Sở hữu gián tiếp thông qua Công ty Cổ phần One Capital Consumer,Công ty con gián tiếp > Công ty Cổ phần Bánh Givral Sở hữu gián tiếp thông qua Công ty Cổ phần One Capital Consumer,Công ty Cổ phần Bánh Givral Sở hữu gián tiếp thông qua Công ty Cổ phần One Capital Consumer,Hồ Chí Minh,Sản xuất các loại bánh từ bột,,"61,91%","99,99997%",,,,0.6191,0.9999997
Công ty TNHH Thực phẩm sạch JP Sở hữu gián tiếp thông qua Công ty Cổ phần One Capital Consumer,Công ty con gián tiếp > Công ty TNHH Thực phẩm sạch JP Sở hữu gián tiếp thông qua Công ty Cổ phần One Capital Consumer,Công ty TNHH Thực phẩm sạch JP Sở hữu gián tiếp thông qua Công ty Cổ phần One Capital Consumer,Son La,"Chế biến, bảo quản thủy sản, thịt và các sản phẩm từ thủy sản, thịt",,"61,91%","100,00%",,,,0.6191,1.0
Công ty Cổ phần Thực phẩm Fuji Sở hữu gián tiếp thông qua Công ty Cổ phần Kem Tràng Tiền,Công ty con gián tiếp > Công ty Cổ phần Thực phẩm Fuji Sở hữu gián tiếp thông qua Công ty Cổ phần Kem Tràng Tiền,Công ty Cổ phần Thực phẩm Fuji Sở hữu gián tiếp thông qua Công ty Cổ phần Kem Tràng Tiền,Hà Nội,"Chế biến, bảo quản thịt và các sản phẩm từ thủy sản, thịt",,"31,57%","51,00%",,,,0.3157,0.51
Công ty TNHH Sản xuất Bình Hưng Sở hữu gián tiếp thông qua Công ty Cổ phần Bánh Givral,Công ty con gián tiếp > Công ty TNHH Sản xuất Bình Hưng Sở hữu gián tiếp thông qua Công ty Cổ phần Bánh Givral,Công ty TNHH Sản xuất Bình Hưng Sở hữu gián tiếp thông qua Công ty Cổ phần Bánh Givral,Bắc Ninh,"Kinh doanh bắt động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",,"61,91%","100,00%",,,,0.6191,1.0
Công ty Cổ phần Kem Tín Phát Sở hữu gián tiếp thông qua Công ty Cổ phần Kem Tràng Tiền,Công ty con gián tiếp > Công ty Cổ phần Kem Tín Phát Sở hữu gián tiếp thông qua Công ty Cổ phần Kem Tràng Tiền,Công ty Cổ phần Kem Tín Phát Sở hữu gián tiếp thông qua Công ty Cổ phần Kem Tràng Tiền,Hà Nội,Chế biến sữa và các sản phẩm từ sữa,,"61,81%","99,87%",,,,0.6181,0.9987
