row_label_raw,row_label_full,col_0,31/12/2025 > Giá trị,31/12/2025 > Số có khả năng trả nợ,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,01/01/2025 > Giá trị,01/01/2025 > Số có khả năng trả nợ,numeric__31/12/2025 > Giá trị,numeric__31/12/2025 > Số có khả năng trả nợ,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__01/01/2025 > Giá trị,numeric__01/01/2025 > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,-,-,120.573.158.851,145.869.822.732,25.296.663.881,25.296.663.881,,,120573158851.0,145869822732.0,25296663881.0,25296663881.0
Ngân hàng TMCP Ngoại thương Việt Nam-CN Khánh Hòa,Ngân hàng TMCP Ngoại thương Việt Nam-CN Khánh Hòa,Ngân hàng TMCP Ngoại thương Việt Nam-CN Khánh Hòa,-,-,-,25.296.663.881,25.296.663.881,25.296.663.881,,,,25296663881.0,25296663881.0,25296663881.0
Công ty Cổ phần 18-4 Hà Nội,Công ty Cổ phần 18-4 Hà Nội,Công ty Cổ phần 18-4 Hà Nội,-,-,11.500.000.000,11.500.000.000,-,-,,,11500000000.0,11500000000.0,,
Công ty Cổ phần Bất động sản Việt Bắc,Công ty Cổ phần Bất động sản Việt Bắc,Công ty Cổ phần Bất động sản Việt Bắc,-,-,15.000.000.000,15.000.000.000,-,-,,,15000000000.0,15000000000.0,,
Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Ba Đình,Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Ba Đình,Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Ba Đình,-,-,94.073.158.851,94.073.158.851,-,-,,,94073158851.0,94073158851.0,,
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,160.000.000.000,160.000.000.000,160.000.000.000,130.000.000.000,130.000.000.000,130.000.000.000,160000000000.0,160000000000.0,160000000000.0,130000000000.0,130000000000.0,130000000000.0
Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Ba Đình (*),Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Ba Đình (*),Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Ba Đình (*),160.000.000.000,160.000.000.000,160.000.000.000,130.000.000.000,130.000.000.000,130.000.000.000,160000000000.0,160000000000.0,160000000000.0,130000000000.0,130000000000.0,130000000000.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,1.110.000.000.000,1.110.000.000.000,-,160.000.000.000,1.270.000.000.000,1.270.000.000.000,1110000000000.0,1110000000000.0,,160000000000.0,1270000000000.0,1270000000000.0
Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Ba Đình (*),Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Ba Đình (*),Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Ba Đình (*),1.110.000.000.000,1.110.000.000.000,-,160.000.000.000,1.270.000.000.000,1.270.000.000.000,1110000000000.0,1110000000000.0,,160000000000.0,1270000000000.0,1270000000000.0
Tổng,Tổng,Tổng,1.270.000.000.000,1.270.000.000.000,280.573.158.851,435.869.822.732,1.425.296.663.881,1.425.296.663.881,1270000000000.0,1270000000000.0,280573158851.0,435869822732.0,1425296663881.0,1425296663881.0
