row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích của cổ đông không kiểm soát,Tổng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng
Số dư tại 01/01/2024,Số dư tại 01/01/2024,Số dư tại 01/01/2024,3.000.060.000.000,6.269.828.101,(10.000),105.490.784.620,14.345.072.839,(2.576.832.511.589),1.007.825.667.298,1.557.098.831.269,3000060000000.0,6269828101.0,-10000.0,105490784620.0,14345072839.0,-2576832511589.0,1007825667298.0,1557098831269.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,-,119.297.830.833,95.849.463.177,215.147.294.010,,,,,,119297830833.0,95849463177.0,215147294010.0
Mua thêm cổ phần của Công ty con,Mua thêm cổ phần của Công ty con,Mua thêm cổ phần của Công ty con,-,-,-,-,-,(18.838.009.905),(15.044.962.895),(33.882.972.800),,,,,,-18838009905.0,-15044962895.0,-33882972800.0
Tăng vốn,Tăng vốn,Tăng vốn,-,-,-,-,-,-,2.007.386,2.007.386,,,,,,,2007386.0,2007386.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,-,-,(1.374.632.910),(1.991.751.618),(3.366.384.528),,,,,,-1374632910.0,-1991751618.0,-3366384528.0
Tăng giảm do hợp nhất,Tăng giảm do hợp nhất,Tăng giảm do hợp nhất,-,-,-,-,-,29.118.734.572,(29.118.734.572),-,,,,,,29118734572.0,-29118734572.0,
Tăng/giảm khác,Tăng/giảm khác,Tăng/giảm khác,-,997.380,-,5.140.415,-,-,(6.137.795),-,,997380.0,,5140415.0,,,-6137795.0,
Số dư tại 31/12/2024,Số dư tại 31/12/2024,Số dư tại 31/12/2024,3.000.000.000.000,6.270.825.481,(10.000),105.495.925.035,14.345.072.839,(2.448.628.588.999),1.057.515.550.981,1.734.998.775.337,3000000000000.0,6270825481.0,-10000.0,105495925035.0,14345072839.0,-2448628588999.0,1057515550981.0,1734998775337.0
Số dư tại 01/01/2025,Số dư tại 01/01/2025,Số dư tại 01/01/2025,3.000.000.000.000,6.270.825.481,(10.000),105.495.925.035,14.345.072.839,(2.448.628.588.999),1.057.515.550.981,1.734.998.775.337,3000000000000.0,6270825481.0,-10000.0,105495925035.0,14345072839.0,-2448628588999.0,1057515550981.0,1734998775337.0
Lãi trong năm,Lãi trong năm,Lãi trong năm,-,-,-,-,-,67.112.139.369,56.064.897.322,123.177.036.691,,,,,,67112139369.0,56064897322.0,123177036691.0
Ảnh hưởng từ mua Công ty con,Ảnh hưởng từ mua Công ty con,Ảnh hưởng từ mua Công ty con,-,-,-,-,-,-,(13.792.319.600),(13.792.319.600),,,,,,,-13792319600.0,-13792319600.0
Ảnh hưởng do thay đổi tỷ lệ sở hữu Công ty con,Ảnh hưởng do thay đổi tỷ lệ sở hữu Công ty con,Ảnh hưởng do thay đổi tỷ lệ sở hữu Công ty con,-,-,-,256.951.915,-,(24.460.544.709),24.203.592.794,-,,,,256951915.0,,-24460544709.0,24203592794.0,
Tăng vốn tại Công ty con,Tăng vốn tại Công ty con,Tăng vốn tại Công ty con,-,-,-,-,-,27.894.500.737,27.785.215.523,55.679.716.260,,,,,,27894500737.0,27785215523.0,55679716260.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,-,-,(1.063.341.823),(78.078.345),(1.141.420.168),,,,,,-1063341823.0,-78078345.0,-1141420168.0
Tăng/giảm khác,Tăng/giảm khác,Tăng/giảm khác,-,-,-,-,-,(889),-,(889),,,,,,-889.0,,-889.0
Số dư tại 31/12/2025,Số dư tại 31/12/2025,Số dư tại 31/12/2025,3.000.000.000.000,6.270.825.481,(10.000),105.752.876.950,14.345.072.839,(2.379.145.836.314),1.151.698.858.675,1.898.921.787.631,3000000000000.0,6270825481.0,-10000.0,105752876950.0,14345072839.0,-2379145836314.0,1151698858675.0,1898921787631.0
