row_label_raw,row_label_full,col_0,"Bán hàng hóa, thành phẩm",Cung cấp dịch vụ và hoạt động khác,Bất động sản,Tổng,"numeric__Bán hàng hóa, thành phẩm",numeric__Cung cấp dịch vụ và hoạt động khác,numeric__Bất động sản,numeric__Tổng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,969.663.786.051,171.296.628.715,447.204.345,1.141.407.619.111,969663786051.0,171296628715.0,447204345.0,1141407619111.0
Giá vốn,Giá vốn,Giá vốn,475.599.070.131,129.136.336.592,-,604.735.406.723,475599070131.0,129136336592.0,,604735406723.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,494.064.715.920,42.160.292.123,447.204.345,536.672.212.388,494064715920.0,42160292123.0,447204345.0,536672212388.0
KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,,,,
Kết quả bộ phận,KẾT QUẢ HOẠT ĐỘNG > Kết quả bộ phận,Kết quả bộ phận,494.064.715.920,42.160.292.123,447.204.345,536.672.212.388,494064715920.0,42160292123.0,447204345.0,536672212388.0
Doanh thu hoạt động tài chính,KẾT QUẢ HOẠT ĐỘNG > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,13.126.182.322,,,,13126182322.0
Phần lãi hoặc lỗ trong,Phần lãi hoặc lỗ trong,Phần lãi hoặc lỗ trong,,,,,,,,
"Công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong > Công ty liên doanh, liên kết","Công ty liên doanh, liên kết",,,,45.564.357.773,,,,45564357773.0
Chi phí tài chính,Phần lãi hoặc lỗ trong > Chi phí tài chính,Chi phí tài chính,,,,(107.128.676.099),,,,-107128676099.0
Chi phí bán hàng,Phần lãi hoặc lỗ trong > Chi phí bán hàng,Chi phí bán hàng,,,,(208.851.758.275),,,,-208851758275.0
Chi phí quản lý doanh nghiệp,Phần lãi hoặc lỗ trong > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,(121.459.442.632),,,,-121459442632.0
Lợi nhuận khác,Phần lãi hoặc lỗ trong > Lợi nhuận khác,Lợi nhuận khác,,,,(62.387.476),,,,-62387476.0
Thuế TNDN hiện hành,Phần lãi hoặc lỗ trong > Thuế TNDN hiện hành,Thuế TNDN hiện hành,,,,(34.359.525.072),,,,-34359525072.0
Thuế TNDN hoãn lại,Phần lãi hoặc lỗ trong > Thuế TNDN hoãn lại,Thuế TNDN hoãn lại,,,,(323.926.238),,,,-323926238.0
Lợi nhuận trong năm,Phần lãi hoặc lỗ trong > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,123.177.036.691,,,,123177036691.0
