row_label_raw,row_label_full,col_0,31/12/2025 (VND) > Giá trị ghi sổ,31/12/2025 (VND) > Dự phòng,01/01/2025 (VND) > Giá trị ghi sổ,01/01/2025 (VND) > Dự phòng,numeric__31/12/2025 (VND) > Giá trị ghi sổ,numeric__31/12/2025 (VND) > Dự phòng,numeric__01/01/2025 (VND) > Giá trị ghi sổ,numeric__01/01/2025 (VND) > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,337.523.115.217,(141.182.698.915),274.516.712.466,(137.991.337.503),337523115217.0,-141182698915.0,274516712466.0,-137991337503.0
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",462.918.800,(53.498.000),7.841.918.800,(53.498.000),462918800.0,-53498000.0,7841918800.0,-53498000.0
Tạm ứng,Tạm ứng,Tạm ứng,15.972.405.539,-,11.158.532.317,-,15972405539.0,,11158532317.0,
Phải thu khác,Phải thu khác,Phải thu khác,321.087.790.878,(141.129.200.915),255.516.261.349,(137.937.839.503),321087790878.0,-141129200915.0,255516261349.0,-137937839503.0
"- Lãi tiền gửi, tiền cho vay","- Lãi tiền gửi, tiền cho vay","- Lãi tiền gửi, tiền cho vay",1.628.703.215,(724.833.334),3.415.395.190,(1.611.493.333),1628703215.0,-724833334.0,3415395190.0,-1611493333.0
- Công ty Cổ phần Dịch vụHỗ trợ và Phát triển Đầu tư -IOC,- Công ty Cổ phần Dịch vụHỗ trợ và Phát triển Đầu tư -IOC,- Công ty Cổ phần Dịch vụHỗ trợ và Phát triển Đầu tư -IOC,14.663.642.060,(14.663.642.060),14.591.642.060,(14.591.642.060),14663642060.0,-14663642060.0,14591642060.0,-14591642060.0
- Phải thu ứng tiền cho cáccá nhân tại Công ty CPViptour - Togi,- Phải thu ứng tiền cho cáccá nhân tại Công ty CPViptour - Togi,- Phải thu ứng tiền cho cáccá nhân tại Công ty CPViptour - Togi,46.240.000.000,(46.240.000.000),46.240.000.000,(46.240.000.000),46240000000.0,-46240000000.0,46240000000.0,-46240000000.0
- Bà Nguyễn Thị Dung,- Bà Nguyễn Thị Dung,- Bà Nguyễn Thị Dung,53.200.000.000,(53.200.000.000),53.200.000.000,(53.200.000.000),53200000000.0,-53200000000.0,53200000000.0,-53200000000.0
- Cá nhân (1),- Cá nhân (1),- Cá nhân (1),177.067.736.498,-,-,-,177067736498.0,,,
- Khoản phải thu liên quannhận chuyển nhượng cổ phần,- Khoản phải thu liên quannhận chuyển nhượng cổ phần,- Khoản phải thu liên quannhận chuyển nhượng cổ phần,-,-,114.000.000.000,-,,,114000000000.0,
- Phải thu khác,- Phải thu khác,- Phải thu khác,28.287.709.105,(26.300.725.521),24.069.224.099,(22.294.704.110),28287709105.0,-26300725521.0,24069224099.0,-22294704110.0
Dài hạn,Dài hạn,Dài hạn,290.030.854.410,-,323.836.126.954,-,290030854410.0,,323836126954.0,
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",110.557.304.230,-,144.362.576.774,-,110557304230.0,,144362576774.0,
- Ngân hàng TMCP CôngThương Việt Nam - Chinánh Ba Đình (2),- Ngân hàng TMCP CôngThương Việt Nam - Chinánh Ba Đình (2),- Ngân hàng TMCP CôngThương Việt Nam - Chinánh Ba Đình (2),105.400.000.000,-,140.400.000.000,-,105400000000.0,,140400000000.0,
- Các đối tượng khác,- Các đối tượng khác,- Các đối tượng khác,5.157.304.230,-,3.962.576.774,-,5157304230.0,,3962576774.0,
Phải thu khác,Phải thu khác,Phải thu khác,179.473.550.180,-,179.473.550.180,-,179473550180.0,,179473550180.0,
- Công ty TNHH VNT (3),- Công ty TNHH VNT (3),- Công ty TNHH VNT (3),78.027.802.500,-,78.027.802.500,-,78027802500.0,,78027802500.0,
- Công ty Licogi 19 (4),- Công ty Licogi 19 (4),- Công ty Licogi 19 (4),57.000.000.000,-,57.000.000.000,-,57000000000.0,,57000000000.0,
- Công ty Cổ phần Giày davà Mây mặc xuất khẩu (5),- Công ty Cổ phần Giày davà Mây mặc xuất khẩu (5),- Công ty Cổ phần Giày davà Mây mặc xuất khẩu (5),44.383.247.680,-,44.383.247.680,-,44383247680.0,,44383247680.0,
- Các khoản phải thu khác,- Các khoản phải thu khác,- Các khoản phải thu khác,62.500.000,-,62.500.000,-,62500000.0,,62500000.0,
Tổng,Tổng,Tổng,627.553.969.627,(141.182.698.915),598.352.839.420,(137.991.337.503),627553969627.0,-141182698915.0,598352839420.0,-137991337503.0
