row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn",Thiết bị dụng cụquản lý,TSCDhửu hình khác,Tổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn",numeric__Thiết bị dụng cụquản lý,numeric__TSCDhửu hình khác,numeric__Tổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư tại 01/01/2025,NGUYÊN GIÁ > Số dư tại 01/01/2025,Số dư tại 01/01/2025,528.853.520.770,253.187.935.190,36.354.415.825,1.781.727.082,10.609.142.148,830.786.741.015,528853520770.0,253187935190.0,36354415825.0,1781727082.0,10609142148.0,830786741015.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,9.123.982.288,10.661.342.408,1.143.423.191,56.310.000,446.000.000,21.431.057.887,9123982288.0,10661342408.0,1143423191.0,56310000.0,446000000.0,21431057887.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,8.721.380.288,6.625.837.385,905.219.091,56.310.000,446.000.000,16.754.746.764,8721380288.0,6625837385.0,905219091.0,56310000.0,446000000.0,16754746764.0
Tăng do hợp nhất,NGUYÊN GIÁ > Tăng do hợp nhất,Tăng do hợp nhất,402.602.000,4.035.505.023,238.204.100,-,-,4.676.311.123,402602000.0,4035505023.0,238204100.0,,,4676311123.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,137.862.752,2.672.543.877,842.758.817,33.990.000,31.510.000,3.718.665.446,137862752.0,2672543877.0,842758817.0,33990000.0,31510000.0,3718665446.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",137.862.752,2.530.274.423,842.758.817,33.990.000,31.510.000,3.576.395.992,137862752.0,2530274423.0,842758817.0,33990000.0,31510000.0,3576395992.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,-,142.269.454,-,-,-,142.269.454,,142269454.0,,,,142269454.0
Số dư tại 31/12/2025,NGUYÊN GIÁ > Số dư tại 31/12/2025,Số dư tại 31/12/2025,537.839.640.306,261.176.733.721,36.655.080.199,1.804.047.082,11.023.632.148,848.499.133.456,537839640306.0,261176733721.0,36655080199.0,1804047082.0,11023632148.0,848499133456.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư tại 01/01/2025,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2025,Số dư tại 01/01/2025,212.247.139.268,153.973.384.083,26.675.019.760,1.332.646.600,9.379.130.339,403.607.320.050,212247139268.0,153973384083.0,26675019760.0,1332646600.0,9379130339.0,403607320050.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,14.780.599.298,17.609.683.089,2.602.124.398,200.759.634,470.533.052,35.663.704.471,14780599298.0,17609683089.0,2602124398.0,200759634.0,470533052.0,35663704471.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,14.609.513.866,15.680.264.761,2.421.839.684,200.759.634,470.533.052,33.382.910.997,14609513866.0,15680264761.0,2421839684.0,200759634.0,470533052.0,33382910997.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,-,56.904.301,-,-,-,56.904.301,,56904301.0,,,,56904301.0
Tăng do hợp nhất,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng do hợp nhất,Tăng do hợp nhất,171.085.432,1.872.519.027,180.284.714,-,-,2.223.889.173,171085432.0,1872519027.0,180284714.0,,,2223889173.0
Giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,60.251.129,2.167.519.870,899.663.118,33.990.000,31.510.000,3.192.934.117,60251129.0,2167519870.0,899663118.0,33990000.0,31510000.0,3192934117.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",60.251.129,2.167.519.870,842.758.817,33.990.000,31.510.000,3.136.029.816,60251129.0,2167519870.0,842758817.0,33990000.0,31510000.0,3136029816.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,-,-,56.904.301,-,-,56.904.301,,,56904301.0,,,56904301.0
Số dư tại 31/12/2025,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 31/12/2025,Số dư tại 31/12/2025,226.967.487.437,169.415.552.302,28.377.481.040,1.499.416.234,9.818.153.391,436.078.090.404,226967487437.0,169415552302.0,28377481040.0,1499416234.0,9818153391.0,436078090404.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại 01/01/2025,GIÁ TRỊ CÒN LẠI > Tại 01/01/2025,Tại 01/01/2025,316.606.381.502,99.214.551.107,9.679.396.065,449.080.482,1.230.011.809,427.179.420.965,316606381502.0,99214551107.0,9679396065.0,449080482.0,1230011809.0,427179420965.0
Tại 31/12/2025,GIÁ TRỊ CÒN LẠI > Tại 31/12/2025,Tại 31/12/2025,310.872.152.869,91.761.181.419,8.277.599.159,304.630.848,1.205.478.757,412.421.043.052,310872152869.0,91761181419.0,8277599159.0,304630848.0,1205478757.0,412421043052.0
