row_label_raw,row_label_full,col_0,"Bán hàng hóa, thành phẩm",Cung cấp dịch vụ và hoạt động khác,Bất động sản,Tổng,"numeric__Bán hàng hóa, thành phẩm",numeric__Cung cấp dịch vụ và hoạt động khác,numeric__Bất động sản,numeric__Tổng
Doanh thu,Doanh thu,Doanh thu,861.576.817.319,132.779.044.671,12.543.302.293,1.006.899.164.283,861576817319.0,132779044671.0,12543302293.0,1006899164283.0
Giá vốn,Giá vốn,Giá vốn,419.624.598.966,101.111.393.474,8.365.351.449,529.101.343.889,419624598966.0,101111393474.0,8365351449.0,529101343889.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,441.952.218.353,31.667.651.197,4.177.950.844,477.797.820.394,441952218353.0,31667651197.0,4177950844.0,477797820394.0
KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,,,,
Kết quả bộ phận,KẾT QUẢ HOẠT ĐỘNG > Kết quả bộ phận,Kết quả bộ phận,441.952.218.353,31.667.651.197,4.177.950.844,477.797.820.394,441952218353.0,31667651197.0,4177950844.0,477797820394.0
Doanh thu hoạt động tài chính,KẾT QUẢ HOẠT ĐỘNG > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,23.361.008.205,,,,23361008205.0
"Phần lãi hoặc lỗ trong Công ty liên doanh, liên kết","KẾT QUẢ HOẠT ĐỘNG > Phần lãi hoặc lỗ trong Công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong Công ty liên doanh, liên kết",,,,35.954.780.898,,,,35954780898.0
Chi phí tài chính,KẾT QUẢ HOẠT ĐỘNG > Chi phí tài chính,Chi phí tài chính,,,,(179.439.548.562),,,,-179439548562.0
Chi phí bán hàng,KẾT QUẢ HOẠT ĐỘNG > Chi phí bán hàng,Chi phí bán hàng,,,,(180.844.467.757),,,,-180844467757.0
Chi phí quản lý doanh nghiệp,KẾT QUẢ HOẠT ĐỘNG > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,(90.701.525.971),,,,-90701525971.0
Lợi nhuận khác,KẾT QUẢ HOẠT ĐỘNG > Lợi nhuận khác,Lợi nhuận khác,,,,161.203.234.179,,,,161203234179.0
Thuế TNDN hiện hành,KẾT QUẢ HOẠT ĐỘNG > Thuế TNDN hiện hành,Thuế TNDN hiện hành,,,,(32.363.265.663),,,,-32363265663.0
Thuế TNDN hoãn lại,KẾT QUẢ HOẠT ĐỘNG > Thuế TNDN hoãn lại,Thuế TNDN hoãn lại,,,,179.258.287,,,,179258287.0
Lợi nhuận trong năm,KẾT QUẢ HOẠT ĐỘNG > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,215.147.294.010,,,,215147294010.0
