row_label_raw,row_label_full,col_0,31/12/2025VND'000,1/1/2025VND'000,numeric__31/12/2025VND'000,numeric__1/1/2025VND'000
Natural resource taxes and environment protection fees,Natural resource taxes and environment protection fees,Natural resource taxes and environment protection fees,"314,560,263","97,996,628",,
Accrued interest payable,Accrued interest payable,Accrued interest payable,"156,982,863","160,580,811",,
Operating expenses,Operating expenses,Operating expenses,"86,275,658","399,022,169",,
Bonus,Bonus,Bonus,"85,337,034","54,502,750",,
Accrual for land leases costs,Accrual for land leases costs,Accrual for land leases costs,"1,861,323","56,091,971",,
Accrual for construction work,Accrual for construction work,Accrual for construction work,-,"4,753,210",,
Accrual for other financing costs,Accrual for construction work > Accrual for other financing costs,Accrual for other financing costs,"919,329","919,329",919.329,919.329
Others,Others,Others,"1,985,389","18,160,467",,
,,,"647,921,859","792,027,335",,
