row_label_raw,row_label_full,col_0,Prepaid land cost and land compensation costs VND'000,Other mining costs VND'000,Incremental costs of obtaining contract (*) VND'000,Others VND'000,Total VND'000,numeric__Prepaid land cost and land compensation costs VND'000,numeric__Other mining costs VND'000,numeric__Incremental costs of obtaining contract (*) VND'000,numeric__Others VND'000,numeric__Total VND'000
Opening balance,Opening balance,Opening balance,"1,218,891,613","1,780,676,668","106,062,008","137,660,162","3,243,290,451",,,,,
Additions,Additions,Additions,"29,117,326","66,006,930",-,"94,647,436","189,771,692",,,,,
Transfer from construction in progress (Note 13),Transfer from construction in progress (Note 13),Transfer from construction in progress (Note 13),"703,138,068",-,-,"64,450,432","767,588,500",,,,,
Amortisation for the year,Amortisation for the year,Amortisation for the year,"(100,952,935)","(130,733,014)","(6,561,038)","(113,749,977)","(351,996,964)",,,,,
Closing balance,Closing balance,Closing balance,"1,850,194,072","1,715,950,584","99,500,970","183,008,053","3,848,653,679",,,,,
