row_label_raw,row_label_full,Tên công ty,Địa chỉ,Hoạt động chính,Tỷ lệ lợi ích kinh tế tại 31/12/2025,1/1/2025,numeric__Địa chỉ,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích kinh tế tại 31/12/2025,numeric__1/1/2025
Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,,,,
Công ty TNHH MTV Tài NguyênMasan Thái Nguyên (“MRTN”),Công ty con trực tiếp > Công ty TNHH MTV Tài NguyênMasan Thái Nguyên (“MRTN”),Công ty TNHH MTV Tài NguyênMasan Thái Nguyên (“MRTN”),Thành phố Hồ Chí Minh,Quản lý đầu tư,100%,100%,,,1.0,1.0
Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,,,,
Công ty TNHH MTV Thương mại và Đầu tư Thái Nguyên (“TNTI”),Công ty con gián tiếp > Công ty TNHH MTV Thương mại và Đầu tư Thái Nguyên (“TNTI”),Công ty TNHH MTV Thương mại và Đầu tư Thái Nguyên (“TNTI”),Thành phố Hồ Chí Minh,Quản lý đầu tư,100%,100%,,,1.0,1.0
Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo (“NPM”) (*),Công ty con gián tiếp > Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo (“NPM”) (*),Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo (“NPM”) (*),Tỉnh Thái Nguyên,Khai thác và chế biến khoáng sản,100%,100%,,,1.0,1.0
Công ty TNHH Vonfram Masan (“MTC”),Công ty con gián tiếp > Công ty TNHH Vonfram Masan (“MTC”),Công ty TNHH Vonfram Masan (“MTC”),Tỉnh Thái Nguyên,Chế biến sâu kim loại màu và kim loại quý hiểm (Vonfram),100%,100%,,,1.0,1.0
