row_label_raw,row_label_full,col_0,Cost and amount within payment capacity,Cost and amount within payment capacity_1,numeric__Cost and amount within payment capacity,numeric__Cost and amount within payment capacity_1
,,,31/12/2025VND'000,1/1/2025VND'000,,
Related parties,Related parties,Related parties,Related parties,Related parties,,
Masan Group Corporation – the ultimate parent company,Masan Group Corporation – the ultimate parent company,Masan Group Corporation – the ultimate parent company,"10,717,066","1,140,246",,
Masan Consumer Corporation,Masan Group Corporation – the ultimate parent company > Masan Consumer Corporation,Masan Consumer Corporation,"109,873","239,795",109.873,239.795
Wincommerce General Commercial Services Joint Stock Company,Masan Group Corporation – the ultimate parent company > Wincommerce General Commercial Services Joint Stock Company,Wincommerce General Commercial Services Joint Stock Company,"19,215","83,886",19.215,83.886
Techcom Securities Joint Stock Company,Techcom Securities Joint Stock Company,Techcom Securities Joint Stock Company,-,"26,840,000",,
Other parties,Other parties,Other parties,Other parties,Other parties,,
TaeguTec Ltd.,TaeguTec Ltd.,TaeguTec Ltd.,"549,721,407",-,,
A.L.M.T. Corp.,A.L.M.T. Corp.,A.L.M.T. Corp.,"171,486,370",-,,
Others,Others,Others,"462,404,170","437,677,631",,
,,,"1,194,458,101","465,981,558",,
