row_label_raw,row_label_full,col_0,Mine rehabilitation VND'000,Mining rights VND'000,Total VND'000,numeric__Mine rehabilitation VND'000,numeric__Mining rights VND'000,numeric__Total VND'000
Opening balance,Opening balance,Opening balance,"124,829,711","340,459,057","465,288,768",,,
Increase during the year,Increase during the year,Increase during the year,"41,797,589",-,"41,797,589",,,
Unwinding costs,Unwinding costs,Unwinding costs,"5,954,323","5,680,836","11,635,159",,,
Closing balance,Closing balance,Closing balance,"172,581,623","346,139,893","518,721,516",,,
