row_label_raw,row_label_full,col_0,2025Nghìn VND,2024Nghìn VND,numeric__2025Nghìn VND,numeric__2024Nghìn VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,1.209.272.739,2.510.877.620,1209272739.0,2510877620.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,147.970.388,479.944.352,147970388.0,479944352.0
Chuyển sang chi phí trả trước dài hạn (Thuyết minh 14),Chuyển sang chi phí trả trước dài hạn (Thuyết minh 14),Chuyển sang chi phí trả trước dài hạn (Thuyết minh 14),(767.588.500),(45.648.183),-767588500.0,-45648183.0
Chuyển sang tài sản cố định hữu hình (Thuyết minh 11),Chuyển sang tài sản cố định hữu hình (Thuyết minh 11),Chuyển sang tài sản cố định hữu hình (Thuyết minh 11),(380.969.161),(925.660.996),-380969161.0,-925660996.0
Xóa số,Xóa số,Xóa số,(44.837.516),(552.030.516),-44837516.0,-552030516.0
Giảm do thoái vốn đầu tư vào công ty con,Giảm do thoái vốn đầu tư vào công ty con,Giảm do thoái vốn đầu tư vào công ty con,-,(250.781.755),,-250781755.0
Chênh lệch do quy đổi đơn vị tiền tệ báo cáo,Chênh lệch do quy đổi đơn vị tiền tệ báo cáo,Chênh lệch do quy đổi đơn vị tiền tệ báo cáo,-,(5.836.222),,-5836222.0
Chuyển sang tài sản cố định vô hình (Thuyết minh 12),Chuyển sang tài sản cố định vô hình (Thuyết minh 12),Chuyển sang tài sản cố định vô hình (Thuyết minh 12),-,(2.541.397),,-2541397.0
Biến động khác,Biến động khác,Biến động khác,-,949.836,,949836.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,163.847.950,1.209.272.739,163847950.0,1209272739.0
