row_label_raw,row_label_full,col_0,Share capital VND'000,Share premium VND'000,Other capital VND'000,Foreign exchange differences VND'000,Other equity funds VND'000,Retained profits VND'000,Equity attributable to shareholders of the Company VND'000,Non-controlling interest VND'000,Total equity VND'000,numeric__Share capital VND'000,numeric__Share premium VND'000,numeric__Other capital VND'000,numeric__Foreign exchange differences VND'000,numeric__Other equity funds VND'000,numeric__Retained profits VND'000,numeric__Equity attributable to shareholders of the Company VND'000,numeric__Non-controlling interest VND'000,numeric__Total equity VND'000
Balance at 1/1/2024,Balance at 1/1/2024,Balance at 1/1/2024,"10,991,554,200","1,098,259,892","(295,683,347)","(233,846,997)","396,305,033","1,455,345,029","13,411,933,810","212,558,053","13,624,491,863",,,,,,,,,
Net (loss)/profit for the year,Net (loss)/profit for the year,Net (loss)/profit for the year,-,-,-,-,-,"(1,638,456,685)","(1,638,456,685)","51,858,035","(1,586,598,650)",,,,,,,,,
Remeasurement of provision for pensions,Remeasurement of provision for pensions,Remeasurement of provision for pensions,-,-,-,-,"157,877,355",-,"157,877,355",-,"157,877,355",,,,,,,,,
Currency translation differences,Currency translation differences,Currency translation differences,-,-,-,"23,309,096",-,-,"23,309,096","5,400,370","28,709,466",,,,,,,,,
Changes due to divestment of investment in subsidiaries,Changes due to divestment of investment in subsidiaries,Changes due to divestment of investment in subsidiaries,-,-,-,"210,537,901","(554,182,388)","554,182,388","210,537,901","(271,324,419)","(60,786,518)",,,,,,,,,
Other movements,Other movements,Other movements,-,-,-,-,-,"(1,507,961)","(1,507,961)","1,507,961",-,,,,,,,,,
Balance at 1/1/2025,Balance at 1/1/2025,Balance at 1/1/2025,"10,991,554,200","1,098,259,892","(295,683,347)",-,-,"369,562,771","12,163,693,516",-,"12,163,693,516",,,,,,,,,
Issuance of ordinary shares under the employee stock ownership plan,Balance at 1/1/2025 > Issuance of ordinary shares under the employee stock ownership plan,Issuance of ordinary shares under the employee stock ownership plan,"6,741,000","(50,000)",-,-,-,-,"6,691,000",-,"6,691,000",,-50.0,,,,,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,-,-,-,"11,292,963","11,292,963",-,"11,292,963",,,,,,,,,
Balance at 31/12/2025,Balance at 31/12/2025,Balance at 31/12/2025,"10,998,295,200","1,098,209,892","(295,683,347)",-,-,"380,855,734","12,181,677,479",-,"12,181,677,479",,,,,,,,,
