row_label_raw,row_label_full,Related party,Nature of transactions,2025VND'000,2024VND'000,numeric__Nature of transactions,numeric__2025VND'000,numeric__2024VND'000
Ultimate parent company,Ultimate parent company,Ultimate parent company,Ultimate parent company,Ultimate parent company,Ultimate parent company,,,
Masan Group Corporation (“MSN”),Masan Group Corporation (“MSN”),Masan Group Corporation (“MSN”),Borrowings received,-,"2,173,600,000",,,
Masan Group Corporation (“MSN”),Masan Group Corporation (“MSN”),Masan Group Corporation (“MSN”),Borrowings repaid,"239,838,000","3,150,262,000",,,
Masan Group Corporation (“MSN”),Masan Group Corporation (“MSN”),Masan Group Corporation (“MSN”),Interest expense,"1,751,803","78,527,544",,,
Masan Group Corporation (“MSN”),Masan Group Corporation (“MSN”),Masan Group Corporation (“MSN”),Loans granted,"749,435,450",-,,,
Masan Group Corporation (“MSN”),Masan Group Corporation (“MSN”),Masan Group Corporation (“MSN”),Collection of loans granted,"749,435,450",-,,,
Masan Group Corporation (“MSN”),Masan Group Corporation (“MSN”),Masan Group Corporation (“MSN”),Interest income,"7,370,291",-,,,
Masan Group Corporation (“MSN”),Masan Group Corporation (“MSN”),Masan Group Corporation (“MSN”),Purchase of services,"1,995,747","3,041,460",,,
Intermediate parent company,Intermediate parent company,Intermediate parent company,Intermediate parent company,Intermediate parent company,Intermediate parent company,,,
Zenith Investment Company Limited,Zenith Investment Company Limited,Zenith Investment Company Limited,Loans granted,"691,500,000",-,,,
Zenith Investment Company Limited,Zenith Investment Company Limited,Zenith Investment Company Limited,Interest income,"18,471,575",-,,,
Zenith Investment Company Limited,Zenith Investment Company Limited > Zenith Investment Company Limited,Zenith Investment Company Limited,Bonds interest (i),-,"641,096",,,641.096
Immediate parent company,Immediate parent company,Immediate parent company,Immediate parent company,Immediate parent company,Immediate parent company,,,
Masan Horizon Company Limited (“MH”),Masan Horizon Company Limited (“MH”),Masan Horizon Company Limited (“MH”),Borrowings received,-,"1,848,500,000",,,
Masan Horizon Company Limited (“MH”),Masan Horizon Company Limited (“MH”),Masan Horizon Company Limited (“MH”),Borrowings repaid,-,"2,308,500,000",,,
Masan Horizon Company Limited (“MH”),Masan Horizon Company Limited (“MH”),Masan Horizon Company Limited (“MH”),Interest expense,-,"51,206,252",,,
Masan Horizon Company Limited (“MH”),Masan Horizon Company Limited (“MH”),Masan Horizon Company Limited (“MH”),Bonds interest (i),-,"58,796,219",,,
Ultimate parent company's subsidiaries,Ultimate parent company's subsidiaries,Ultimate parent company's subsidiaries,Ultimate parent company's subsidiaries,Ultimate parent company's subsidiaries,Ultimate parent company's subsidiaries,,,
Masan Consumer Corporation,Ultimate parent company's subsidiaries > Masan Consumer Corporation,Masan Consumer Corporation,Purchase of goods,"899,816","1,181,923",,899.816,
WinCommerce General Commercial Services Joint Stock Company,WinCommerce General Commercial Services Joint Stock Company,WinCommerce General Commercial Services Joint Stock Company,Bonds interest (i),"319,056,813","427,966,828",,,
WinCommerce General Commercial Services Joint Stock Company,WinCommerce General Commercial Services Joint Stock Company > WinCommerce General Commercial Services Joint Stock Company,WinCommerce General Commercial Services Joint Stock Company,Purchase of goods,"781,565","1,021,359",,781.565,
Masan Brewery Distribution One Member Company Limited,WinCommerce General Commercial Services Joint Stock Company > Masan Brewery Distribution One Member Company Limited,Masan Brewery Distribution One Member Company Limited,Purchase of goods,-,"5,040",,,5.04
Phuc Long Heritage Corporation,WinCommerce General Commercial Services Joint Stock Company > Phuc Long Heritage Corporation,Phuc Long Heritage Corporation,Bonds interest (i),"935,327",-,,935.327,
The SHERPA Company Limited,The SHERPA Company Limited,The SHERPA Company Limited,Bonds interest (i),"56,567,274","7,690,240",,,
The SHERPA Company Limited,The SHERPA Company Limited,The SHERPA Company Limited,Proceeds from sales of equity investment in other entities,-,"502,326,000",,,
