row_label_raw,row_label_full,col_0,2025VND'000,2024VND'000,numeric__2025VND'000,numeric__2024VND'000
Opening balance,Opening balance,Opening balance,"1,209,272,739","2,510,877,620",,
Additions during the year,Additions during the year,Additions during the year,"147,970,388","479,944,352",,
Transfer to long-term prepaid expenses (Note 14),Transfer to long-term prepaid expenses (Note 14),Transfer to long-term prepaid expenses (Note 14),"(767,588,500)","(45,648,183)",,
Transfer to tangible fixed assets (Note 11),Transfer to tangible fixed assets (Note 11),Transfer to tangible fixed assets (Note 11),"(380,969,161)","(925,660,996)",,
Written off,Written off,Written off,"(44,837,516)","(552,030,516)",,
Decrease due to divestment of investment in subsidiaries,Decrease due to divestment of investment in subsidiaries,Decrease due to divestment of investment in subsidiaries,-,"(250,781,755)",,
Currency translation difference,Currency translation difference,Currency translation difference,-,"(5,836,222)",,
Transfer to intangible fixed assets (Note 12),Transfer to intangible fixed assets (Note 12),Transfer to intangible fixed assets (Note 12),-,"(2,541,397)",,
Other movements,Transfer to intangible fixed assets (Note 12) > Other movements,Other movements,-,"949,836",,949.836
Closing balance,Closing balance,Closing balance,"163,847,950","1,209,272,739",,
