row_label_raw,row_label_full,col_0,Chi phí đất trả trước và chi phí đến bù giải phóng mặt bằng Nghìn VND,Chi phí khai thác khoảng sản khác Nghìn VND,Chi phí phát sinh để có được hợp đồng (*) Nghìn VND,Chi phí trả trước khác Nghìn VND,Tổng cộng Nghìn VND,numeric__Chi phí đất trả trước và chi phí đến bù giải phóng mặt bằng Nghìn VND,numeric__Chi phí khai thác khoảng sản khác Nghìn VND,numeric__Chi phí phát sinh để có được hợp đồng (*) Nghìn VND,numeric__Chi phí trả trước khác Nghìn VND,numeric__Tổng cộng Nghìn VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,1.218.891.613,1.780.676.668,106.062.008,137.660.162,3.243.290.451,1218891613.0,1780676668.0,106062008.0,137660162.0,3243290451.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,29.117.326,66.006.930,-,94.647.436,189.771.692,29117326.0,66006930.0,,94647436.0,189771692.0
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 13),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 13),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 13),703.138.068,-,-,64.450.432,767.588.500,703138068.0,,,64450432.0,767588500.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(100.952.935),(130.733.014),(6.561.038),(113.749.977),(351.996.964),-100952935.0,-130733014.0,-6561038.0,-113749977.0,-351996964.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.850.194.072,1.715.950.584,99.500.970,183.008.053,3.848.653.679,1850194072.0,1715950584.0,99500970.0,183008053.0,3848653679.0
