row_label_raw,row_label_full,col_0,Depreciation base,numeric__Depreciation base
M&E relating to only mineral extracting and processing activities,M&E relating to only mineral extracting and processing activities,M&E relating to only mineral extracting and processing activities,(a),
"M&E relating to mineral processing activities, and being used in OTC retreatment","M&E relating to mineral processing activities, and being used in OTC retreatment","M&E relating to mineral processing activities, and being used in OTC retreatment",(a) and (b),
Fair value of mineral reserves from business combination,Fair value of mineral reserves from business combination,Fair value of mineral reserves from business combination,(a) and (b),
