row_label_raw,row_label_full,Tangible fixed assets,Tangible fixed assets_1,Tangible fixed assets_2,Tangible fixed assets_3,Tangible fixed assets_4,Tangible fixed assets_5,Tangible fixed assets_6,numeric__Tangible fixed assets_1,numeric__Tangible fixed assets_2,numeric__Tangible fixed assets_3,numeric__Tangible fixed assets_4,numeric__Tangible fixed assets_5,numeric__Tangible fixed assets_6
,,,Buildings and structures VND'000,Machinery and equipment VND'000,Office equipment VND'000,Motor vehicles VND'000,Other mining assets VND'000,Total VND'000,,,,,,
Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,,,,,,
Opening balance,Opening balance,Opening balance,"5,632,226,662","13,510,990,192","42,933,174","13,351,985","5,095,926,136","24,295,428,149",,,,,,
Additions,Additions,Additions,-,-,-,-,"41,797,589","41,797,589",,,,,,
Transfer from construction in progress (Note 13),Transfer from construction in progress (Note 13),Transfer from construction in progress (Note 13),"212,246,952","168,722,209",-,-,-,"380,969,161",,,,,,
Closing balance,Closing balance,Closing balance,"5,844,473,614","13,679,712,401","42,933,174","13,351,985","5,137,723,725","24,718,194,899",,,,,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,,,,
Opening balance,Opening balance,Opening balance,"2,333,779,965","6,168,080,233","42,508,971","11,529,578","1,877,118,403","10,433,017,150",,,,,,
Charge for the year,Opening balance > Charge for the year,Charge for the year,"237,596,399","310,334,465","70,608","946,942","79,959,843","628,908,257",,,70.608,946.942,,
Closing balance,Closing balance,Closing balance,"2,571,376,364","6,478,414,698","42,579,579","12,476,520","1,957,078,246","11,061,925,407",,,,,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,,,,
Opening balance,Net book value > Opening balance,Opening balance,"3,298,446,697","7,342,909,959","424,203","1,822,407","3,218,807,733","13,862,410,999",,,424.203,,,
Closing balance,Net book value > Closing balance,Closing balance,"3,273,097,250","7,201,297,703","353,595","875,465","3,180,645,479","13,656,269,492",,,353.595,875.465,,
