row_label_raw,row_label_full,col_0,Code,Note,2025VND'000,2024VND'000,numeric__Code,numeric__Note,numeric__2025VND'000,numeric__2024VND'000
CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,,,,
Profit/(loss) before tax,CASH FLOWS FROM OPERATING ACTIVITIES > Profit/(loss) before tax,Profit/(loss) before tax,01,,"48,875,983","(933,569,686)",1.0,,,
Adjustments for,Adjustments for,Adjustments for,,,,,,,,
Depreciation,Adjustments for > Depreciation,Depreciation,02,,"667,462,146","1,341,572,049",2.0,,,
Allowances and provisions,Adjustments for > Allowances and provisions,Allowances and provisions,03,,"(47,475,780)","153,488,231",3.0,,,
Exchange (gains)/losses arising from revaluation of monetary items denominated in foreign currencies,Adjustments for > Exchange (gains)/losses arising from revaluation of monetary items denominated in foreign currencies,Exchange (gains)/losses arising from revaluation of monetary items denominated in foreign currencies,04,,"(16,482,885)","11,345,063",4.0,,,
Losses/(profits) from investing activities,Adjustments for > Losses/(profits) from investing activities,Losses/(profits) from investing activities,05,,"15,850,947","(870,761,151)",5.0,,,
Interest expense and borrowing fees,Adjustments for > Interest expense and borrowing fees,Interest expense and borrowing fees,06,,"1,107,021,012","1,447,186,979",6.0,,,
Operating profit before changes in working capital,Adjustments for > Operating profit before changes in working capital,Operating profit before changes in working capital,08,,"1,775,251,423","1,149,261,485",8.0,,,
Change in receivables and other assets,Adjustments for > Change in receivables and other assets,Change in receivables and other assets,09,,"(72,336,158)","93,473,002",9.0,,,
Change in inventories,Adjustments for > Change in inventories,Change in inventories,10,,"142,602,125","725,723,409",10.0,,,
Change in payables and other liabilities,Adjustments for > Change in payables and other liabilities,Change in payables and other liabilities,11,,"657,703,471","1,349,249,685",11.0,,,
Change in prepaid expenses,Adjustments for > Change in prepaid expenses,Change in prepaid expenses,12,,"156,462,523","114,547,335",12.0,,,
Change in trading securities,Adjustments for > Change in trading securities,Change in trading securities,13,,"(364,962,353)",-,13.0,,,
,,,,,"2,294,721,031","3,432,254,916",,,,
Interest paid,Adjustments for > Interest paid,Interest paid,14,,"(1,023,669,886)","(1,557,979,234)",14.0,,,
Income tax paid,Adjustments for > Income tax paid,Income tax paid,15,,"(216,506,905)","(102,182,327)",15.0,,,
Net cash flows from operating activities,Adjustments for > Net cash flows from operating activities,Net cash flows from operating activities,20,,"1,054,544,240","1,772,093,355",20.0,,,
CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,,,,
Payments for additions to fixed assets and other long-term assets,CASH FLOWS FROM INVESTING ACTIVITIES > Payments for additions to fixed assets and other long-term assets,Payments for additions to fixed assets and other long-term assets,21,,"(279,856,832)","(536,015,634)",21.0,,,
Proceeds from disposals of fixed assets and other long-term assets,CASH FLOWS FROM INVESTING ACTIVITIES > Proceeds from disposals of fixed assets and other long-term assets,Proceeds from disposals of fixed assets and other long-term assets,22,,-,"981,818",22.0,,,981.818
"Payments for granting loans, purchase of debt instruments of other entities","CASH FLOWS FROM INVESTING ACTIVITIES > Payments for granting loans, purchase of debt instruments of other entities","Payments for granting loans, purchase of debt instruments of other entities",23,,"(1,440,935,450)",-,23.0,,,
Receipts from collecting term deposits and loans,CASH FLOWS FROM INVESTING ACTIVITIES > Receipts from collecting term deposits and loans,Receipts from collecting term deposits and loans,24,,"749,435,450","8,110,000",24.0,,,
Collections on investments in other entities,CASH FLOWS FROM INVESTING ACTIVITIES > Collections on investments in other entities,Collections on investments in other entities,26,,-,"3,264,632,809",26.0,,,
Receipt of interest,CASH FLOWS FROM INVESTING ACTIVITIES > Receipt of interest,Receipt of interest,27,,"10,374,706","9,252,213",27.0,,,
Net cash flows from investing activities,CASH FLOWS FROM INVESTING ACTIVITIES > Net cash flows from investing activities,Net cash flows from investing activities,30,,"(960,982,126)","2,746,961,206",30.0,,,
