row_label_raw,row_label_full,col_0,Mãsố,Thuyếtminh,31/12/2025Nghìn VND,1/1/2025Nghìn VND,numeric__Mãsố,numeric__Thuyếtminh,numeric__31/12/2025Nghìn VND,numeric__1/1/2025Nghìn VND
Tài sản dài hạn(200 = 210 + 220 + 240 + 260),Tài sản dài hạn(200 = 210 + 220 + 240 + 260),Tài sản dài hạn(200 = 210 + 220 + 240 + 260),200,,19.215.553.782,19.974.483.609,200.0,,19215553782.0,19974483609.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,1.140.766.007,1.199.340.157,210.0,,1140766007.0,1199340157.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,9,1.140.766.007,1.199.340.157,216.0,9.0,1140766007.0,1199340157.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,14.055.142.337,14.299.837.733,220.0,,14055142337.0,14299837733.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,11,13.656.269.492,13.862.410.999,221.0,11.0,13656269492.0,13862410999.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,24.718.194.899,24.295.428.149,222.0,,24718194899.0,24295428149.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(11.061.925.407),(10.433.017.150),223.0,,-11061925407.0,-10433017150.0
Tài sản cố định hữu hình thuê tài chính,Tài sản cố định hữu hình thuê tài chính,Tài sản cố định hữu hình thuê tài chính,224,,-,-,224.0,,,
Nguyên giá,Nguyên giá,Nguyên giá,225,,67.300.000,67.300.000,225.0,,67300000.0,67300000.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,226,,(67.300.000),(67.300.000),226.0,,-67300000.0,-67300000.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,12,398.872.845,437.426.734,227.0,12.0,398872845.0,437426734.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,904.682.261,904.682.261,228.0,,904682261.0,904682261.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(505.809.416),(467.255.527),229.0,,-505809416.0,-467255527.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,,163.847.950,1.209.272.739,240.0,,163847950.0,1209272739.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,13,163.847.950,1.209.272.739,242.0,13.0,163847950.0,1209272739.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,3.855.797.488,3.266.032.980,260.0,,3855797488.0,3266032980.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,14,3.848.653.679,3.243.290.451,261.0,14.0,3848653679.0,3243290451.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,20,7.143.809,22.742.529,262.0,20.0,7143809.0,22742529.0
TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),270,,26.460.335.304,26.966.527.000,270.0,,26460335304.0,26966527000.0
