row_label_raw,row_label_full,Bên liên quan,Bản chất của giao dịch,2025Nghìn VND,2024Nghìn VND,numeric__Bản chất của giao dịch,numeric__2025Nghìn VND,numeric__2024Nghìn VND
Công ty liên kết của công ty mẹ cấp cao nhất,Công ty liên kết của công ty mẹ cấp cao nhất,Công ty liên kết của công ty mẹ cấp cao nhất,Công ty liên kết của công ty mẹ cấp cao nhất,Công ty liên kết của công ty mẹ cấp cao nhất,Công ty liên kết của công ty mẹ cấp cao nhất,,,
TCB và công ty con,Công ty liên kết của công ty mẹ cấp cao nhất > TCB và công ty con,TCB và công ty con,Chi phí lãi vay,113.279.567,137.273.156,,113279567.0,137273156.0
TCB và công ty con,Công ty liên kết của công ty mẹ cấp cao nhất > TCB và công ty con,TCB và công ty con,Lãi trái phiếu (i),40.154.700,22.930.804,,40154700.0,22930804.0
TCB và công ty con,Công ty liên kết của công ty mẹ cấp cao nhất > TCB và công ty con,TCB và công ty con,Khoản vay nhận được,1.266.290.699,1.881.834.936,,1266290699.0,1881834936.0
TCB và công ty con,Công ty liên kết của công ty mẹ cấp cao nhất > TCB và công ty con,TCB và công ty con,Khoản vay đã trả,2.080.617.671,1.649.270.679,,2080617671.0,1649270679.0
TCB và công ty con,Công ty liên kết của công ty mẹ cấp cao nhất > TCB và công ty con,TCB và công ty con,Khoản trái phiếu đã trả(TCB là đơn vị tư vấn phát hành),-,2.000.000.000,,,2000000000.0
Công ty liên kết (từ ngày 1/1/2024 đến ngày 17/12/2024),Công ty liên kết (từ ngày 1/1/2024 đến ngày 17/12/2024),Công ty liên kết (từ ngày 1/1/2024 đến ngày 17/12/2024),Công ty liên kết (từ ngày 1/1/2024 đến ngày 17/12/2024),Công ty liên kết (từ ngày 1/1/2024 đến ngày 17/12/2024),Công ty liên kết (từ ngày 1/1/2024 đến ngày 17/12/2024),,,
Jiangwu H.C.StarckTungsten Products Co.Ltd,Công ty liên kết (từ ngày 1/1/2024 đến ngày 17/12/2024) > Jiangwu H.C.StarckTungsten Products Co.Ltd,Jiangwu H.C.StarckTungsten Products Co.Ltd,Mua hàng hóa,-,1.873.522.437,,,1873522437.0
Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,,,
,,,"Lương, thường và các phúc lợi khác (ii)",13.141.049,24.572.535,,13141049.0,24572535.0
