row_label_raw,row_label_full,col_0,Tax rate,31/12/2025VND'000,1/1/2025VND'000,numeric__Tax rate,numeric__31/12/2025VND'000,numeric__1/1/2025VND'000
Deferred tax assets:,Deferred tax assets:,Deferred tax assets:,Deferred tax assets:,Deferred tax assets:,Deferred tax assets:,,,
Allowance for inventories,Deferred tax assets: > Allowance for inventories,Allowance for inventories,15%,"7,143,809","22,742,529",0.15,,
Deferred tax liabilities:,Deferred tax liabilities:,Deferred tax liabilities:,Deferred tax liabilities:,Deferred tax liabilities:,Deferred tax liabilities:,,,
Mineral reserves and mineral resources,Deferred tax liabilities: > Mineral reserves and mineral resources,Mineral reserves and mineral resources,15%,"462,190,941","473,642,209",0.15,,
Temporary differences arising from depreciation,Deferred tax liabilities: > Temporary differences arising from depreciation,Temporary differences arising from depreciation,15%,"264,449,939","196,478,707",0.15,,
Temporary differences arising from long-term prepaid expenses,Temporary differences arising from long-term prepaid expenses,Temporary differences arising from long-term prepaid expenses,15% - 20%,"48,739,027","44,633,354",,,
Unrealized loss on intra-group transactions,Unrealized loss on intra-group transactions,Unrealized loss on intra-group transactions,10% - 20%,"4,538,104","9,815,063",,,
Tax losses carry-forwards,Tax losses carry-forwards,Tax losses carry-forwards,15% - 20%,"(192,131,253)","(128,431,299)",,,
Others,Others,Others,10% - 20%,"(14,591,500)","(11,422,770)",,,
,,,,"573,195,258","584,715,264",,,
