row_label_raw,row_label_full,col_0,1/1/2025Carrying amount and amount within repayment capacity VND'000,Movements during the year > Additions VND'000,Movements during the year > Payments VND'000,Movements during the year > Unrealised foreign exchange differences VND'000,31/12/2025Carrying amount and amount within repayment capacity VND'000,numeric__1/1/2025Carrying amount and amount within repayment capacity VND'000,numeric__Movements during the year > Additions VND'000,numeric__Movements during the year > Payments VND'000,numeric__Movements during the year > Unrealised foreign exchange differences VND'000,numeric__31/12/2025Carrying amount and amount within repayment capacity VND'000
Short-term borrowings,Short-term borrowings,Short-term borrowings,"3,284,827,701","5,108,802,276","(5,684,547,487)","(24,039,180)","2,685,043,310",,,,,
Current portion of long-term borrowings (Note 19(b)),Current portion of long-term borrowings (Note 19(b)),Current portion of long-term borrowings (Note 19(b)),"373,097,665","239,369,054","(480,107,631)",-,"132,359,088",,,,,
,,,"3,657,925,366","5,348,171,330","(6,164,655,118)","(24,039,180)","2,817,402,398",,,,,
