row_label_raw,row_label_full,Bên liên quan,Bản chất của giao dịch,2025Nghìn VND,2024Nghìn VND,numeric__Bản chất của giao dịch,numeric__2025Nghìn VND,numeric__2024Nghìn VND
Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,,,
Công ty Cổ phần,Công ty mẹ cấp cao nhất > Công ty Cổ phần,Công ty Cổ phần,Khoản vay nhận được,-,2.173.600.000,,,2173600000.0
Tập đoàn Masan (“MSN”),Công ty mẹ cấp cao nhất > Tập đoàn Masan (“MSN”),Tập đoàn Masan (“MSN”),Khoản vay đã trả,239.838.000,3.150.262.000,,239838000.0,3150262000.0
Tập đoàn Masan (“MSN”),Công ty mẹ cấp cao nhất > Tập đoàn Masan (“MSN”),Tập đoàn Masan (“MSN”),Chi phí lãi vay,1.751.803,78.527.544,,1751803.0,78527544.0
Tập đoàn Masan (“MSN”),Công ty mẹ cấp cao nhất > Tập đoàn Masan (“MSN”),Tập đoàn Masan (“MSN”),Khoản cho vay,749.435.450,-,,749435450.0,
Tập đoàn Masan (“MSN”),Công ty mẹ cấp cao nhất > Tập đoàn Masan (“MSN”),Tập đoàn Masan (“MSN”),Thu hồi khoản cho vay,749.435.450,-,,749435450.0,
Tập đoàn Masan (“MSN”),Công ty mẹ cấp cao nhất > Tập đoàn Masan (“MSN”),Tập đoàn Masan (“MSN”),Lãi cho vay,7.370.291,-,,7370291.0,
Tập đoàn Masan (“MSN”),Công ty mẹ cấp cao nhất > Tập đoàn Masan (“MSN”),Tập đoàn Masan (“MSN”),Mua dịch vụ,1.995.747,3.041.460,,1995747.0,3041460.0
Công ty mẹ cấp trung,Công ty mẹ cấp trung,Công ty mẹ cấp trung,Công ty mẹ cấp trung,Công ty mẹ cấp trung,Công ty mẹ cấp trung,,,
Công ty TNHH,Công ty mẹ cấp trung > Công ty TNHH,Công ty TNHH,Khoản cho vay,691.500.000,-,,691500000.0,
Zenith Investment,Công ty mẹ cấp trung > Zenith Investment,Zenith Investment,Lãi cho vay,18.471.575,-,,18471575.0,
Zenith Investment,Công ty mẹ cấp trung > Zenith Investment,Zenith Investment,Lãi trái phiếu (i),-,641.096,,,641096.0
Công ty mẹ trực tiếp,Công ty mẹ trực tiếp,Công ty mẹ trực tiếp,Công ty mẹ trực tiếp,Công ty mẹ trực tiếp,Công ty mẹ trực tiếp,,,
Công ty TNHH,Công ty mẹ trực tiếp > Công ty TNHH,Công ty TNHH,Khoản vay nhận được,-,1.848.500.000,,,1848500000.0
Tầm nhìn Masan (“MH”),Công ty mẹ trực tiếp > Tầm nhìn Masan (“MH”),Tầm nhìn Masan (“MH”),Khoản vay đã trả,-,2.308.500.000,,,2308500000.0
Tầm nhìn Masan (“MH”),Công ty mẹ trực tiếp > Tầm nhìn Masan (“MH”),Tầm nhìn Masan (“MH”),Chi phí lãi vay,-,51.206.252,,,51206252.0
Tầm nhìn Masan (“MH”),Công ty mẹ trực tiếp > Tầm nhìn Masan (“MH”),Tầm nhìn Masan (“MH”),Lãi trái phiếu (i),-,58.796.219,,,58796219.0
Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,,,
Công ty Cổ phần,Công ty con của công ty mẹ cấp cao nhất > Công ty Cổ phần,Công ty Cổ phần,Mua hàng hóa,899.816,1.181.923,,899816.0,1181923.0
Hàng tiêu dùng Masan,Hàng tiêu dùng Masan,Hàng tiêu dùng Masan,Hàng tiêu dùng Masan,Hàng tiêu dùng Masan,Hàng tiêu dùng Masan,,,
Công ty Cổ phần,Hàng tiêu dùng Masan > Công ty Cổ phần,Công ty Cổ phần,Lãi trái phiếu (i),319.056.813,427.966.828,,319056813.0,427966828.0
Dịch vụ Thương mại Tống hợp Wincommerce,Hàng tiêu dùng Masan > Dịch vụ Thương mại Tống hợp Wincommerce,Dịch vụ Thương mại Tống hợp Wincommerce,Mua hàng hóa,781.565,1.021.359,,781565.0,1021359.0
Công ty TNHH MTV Masan Brewery Distribution,Hàng tiêu dùng Masan > Công ty TNHH MTV Masan Brewery Distribution,Công ty TNHH MTV Masan Brewery Distribution,Mua hàng hóa,-,5.040,,,5040.0
Công ty Cổ phần Phúc Long Heritage,Hàng tiêu dùng Masan > Công ty Cổ phần Phúc Long Heritage,Công ty Cổ phần Phúc Long Heritage,Lãi trái phiếu (i),935.327,-,,935327.0,
Công ty TNHH The SHERPA,Hàng tiêu dùng Masan > Công ty TNHH The SHERPA,Công ty TNHH The SHERPA,Lãi trái phiếu (i),56.567.274,7.690.240,,56567274.0,7690240.0
Công ty TNHH The SHERPA,Hàng tiêu dùng Masan > Công ty TNHH The SHERPA,Công ty TNHH The SHERPA,Tiền thu được từ bán khoản đầu tư góp vốn vào đơn vị khác,-,502.326.000,,,502326000.0
