row_label_raw,row_label_full,col_0,col_1,Loại tiền,31/12/2025Nghìn VND,1/1/2025Nghìn VND,numeric__col_1,numeric__Loại tiền,numeric__31/12/2025Nghìn VND,numeric__1/1/2025Nghìn VND
Phát hành trái phiếu có đảm bảo (*),Phát hành trái phiếu có đảm bảo (*),Phát hành trái phiếu có đảm bảo (*),(i),VND,8.221.607.756,8.198.117.852,,,8221607756.0,8198117852.0
Khoản vay ngân hàng có đảm bảo,Khoản vay ngân hàng có đảm bảo,Khoản vay ngân hàng có đảm bảo,(ii),VND,397.740.262,502.545.756,,,397740262.0,502545756.0
Khoản vay bên liên quan không được đảm bảo,Khoản vay bên liên quan không được đảm bảo,Khoản vay bên liên quan không được đảm bảo,,VND,-,239.838.000,,,,239838000.0
,,,,,8.619.348.018,8.940.501.608,,,8619348018.0,8940501608.0
