row_label_raw,row_label_full,2025,Copper VND'000,Fluorspar VND'000,Tungsten VND'000,Others VND'000,Total VND'000,numeric__Copper VND'000,numeric__Fluorspar VND'000,numeric__Tungsten VND'000,numeric__Others VND'000,numeric__Total VND'000
Capital expenditure,Capital expenditure,Capital expenditure,-,"4,541,232","1,690,195",-,"6,231,427",,,,,
Unallocated capital expenditure,Unallocated capital expenditure,Unallocated capital expenditure,,,,,"273,625,405",,,,,
Depreciation and amortisation,Depreciation and amortisation,Depreciation and amortisation,"5,879,717","23,615,605","89,965,651","34,884,247","154,345,220",,,,,
Unallocated depreciation and amortisation,Unallocated depreciation and amortisation,Unallocated depreciation and amortisation,,,,,"513,116,926",,,,,
Unallocated amortization of long-term prepaid expenses,Unallocated amortization of long-term prepaid expenses,Unallocated amortization of long-term prepaid expenses,,,,,"351,996,964",,,,,
2024,2024,2024,Copper VND'000,Fluorspar VND'000,Tungsten VND'000,Others VND'000,Total VND'000,,,,,
Capital expenditure,2024 > Capital expenditure,Capital expenditure,"645,508","1,149,000","9,578,277",-,"11,372,785",645.508,,,,
Unallocated capital expenditure,Unallocated capital expenditure,Unallocated capital expenditure,,,,,"524,642,849",,,,,
Depreciation and amortisation,Depreciation and amortisation,Depreciation and amortisation,"8,153,155","33,379,157","585,680,286","114,876,320","742,088,918",,,,,
Unallocated depreciation and amortisation,Unallocated depreciation and amortisation,Unallocated depreciation and amortisation,,,,,"599,483,131",,,,,
Unallocated amortization of long-term prepaid expenses,Unallocated amortization of long-term prepaid expenses,Unallocated amortization of long-term prepaid expenses,,,,,"372,500,537",,,,,
