row_label_raw,row_label_full,col_0,Vốn cổ phần Nghìn VND,Thặng dư vốn cổ phần Nghìn VND,Vốn khác của chủ sở hữu Nghìn VND,Chênh lệch tỷ giá hối đoai Nghìn VND,Quỹ khác thuộc vốn chủ sở hữu Nghìn VND,Lợi nhuận chưa phân phối Nghìn VND,Vốn chủ sở hữu thuộc về các cổ đông của Công ty Nghìn VND,Lợi ích cổ đông không kiểm soát Nghìn VND,Tổng cộng Nghìn VND,numeric__Vốn cổ phần Nghìn VND,numeric__Thặng dư vốn cổ phần Nghìn VND,numeric__Vốn khác của chủ sở hữu Nghìn VND,numeric__Chênh lệch tỷ giá hối đoai Nghìn VND,numeric__Quỹ khác thuộc vốn chủ sở hữu Nghìn VND,numeric__Lợi nhuận chưa phân phối Nghìn VND,numeric__Vốn chủ sở hữu thuộc về các cổ đông của Công ty Nghìn VND,numeric__Lợi ích cổ đông không kiểm soát Nghìn VND,numeric__Tổng cộng Nghìn VND
Số dư tại ngày 1/1/2024,Số dư tại ngày 1/1/2024,Số dư tại ngày 1/1/2024,10.991.554.200,1.098.259.892,(295.683.347),(233.846.997),396.305.033,1.455.345.029,13.411.933.810,212.558.053,13.624.491.863,10991554200.0,1098259892.0,-295683347.0,-233846997.0,396305033.0,1455345029.0,13411933810.0,212558053.0,13624491863.0
(Lỗ)/ lợi nhuận thuần trong năm,(Lỗ)/ lợi nhuận thuần trong năm,(Lỗ)/ lợi nhuận thuần trong năm,-,-,-,-,-,(1.638.456.685),(1.638.456.685),51.858.035,(1.586.598.650),,,,,,-1638456685.0,-1638456685.0,51858035.0,-1586598650.0
Tái xác định dự phòng trợ cấp hưu trí,Tái xác định dự phòng trợ cấp hưu trí,Tái xác định dự phòng trợ cấp hưu trí,-,-,-,-,157.877.355,-,157.877.355,-,157.877.355,,,,,157877355.0,,157877355.0,,157877355.0
Chênh lệch do quy đổi đơn vị tiền tệ báo cáo,Chênh lệch do quy đổi đơn vị tiền tệ báo cáo,Chênh lệch do quy đổi đơn vị tiền tệ báo cáo,-,-,-,23.309.096,-,-,23.309.096,5.400.370,28.709.466,,,,23309096.0,,,23309096.0,5400370.0,28709466.0
Thay đổi do thoái vốn đầu tư vào công ty con,Thay đổi do thoái vốn đầu tư vào công ty con,Thay đổi do thoái vốn đầu tư vào công ty con,-,-,-,210.537.901,(554.182.388),554.182.388,210.537.901,(271.324.419),(60.786.518),,,,210537901.0,-554182388.0,554182388.0,210537901.0,-271324419.0,-60786518.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,(1.507.961),(1.507.961),1.507.961,-,,,,,,-1507961.0,-1507961.0,1507961.0,
Số dư tại ngày 1/1/2025,Số dư tại ngày 1/1/2025,Số dư tại ngày 1/1/2025,10.991.554.200,1.098.259.892,(295.683.347),-,-,369.562.771,12.163.693.516,-,12.163.693.516,10991554200.0,1098259892.0,-295683347.0,,,369562771.0,12163693516.0,,12163693516.0
Phát hành cổ phiếu phổ thông theo kế hoạch về quyền chọn mua cổ phần cho nhân viên,Phát hành cổ phiếu phổ thông theo kế hoạch về quyền chọn mua cổ phần cho nhân viên,Phát hành cổ phiếu phổ thông theo kế hoạch về quyền chọn mua cổ phần cho nhân viên,6.741.000,(50.000),-,-,-,-,6.691.000,-,6.691.000,6741000.0,-50000.0,,,,,6691000.0,,6691000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,11.292.963,11.292.963,-,11.292.963,,,,,,11292963.0,11292963.0,,11292963.0
Số dư tại ngày 31/12/2025,Số dư tại ngày 31/12/2025,Số dư tại ngày 31/12/2025,10.998.295.200,1.098.209.892,(295.683.347),-,-,380.855.734,12.181.677.479,-,12.181.677.479,10998295200.0,1098209892.0,-295683347.0,,,380855734.0,12181677479.0,,12181677479.0
