row_label_raw,row_label_full,buildings and structures,5 – 40 years,numeric__5 – 40 years
machinery and equipment,machinery and equipment,machinery and equipment,3 – 22 years,
office equipment,office equipment,office equipment,3 – 10 years,
motor vehicles,motor vehicles,motor vehicles,3 – 25 years,
other mining assets,other mining assets,other mining assets,26 years,
