row_label_raw,row_label_full,2024,Copper VND'000,Fluorspar VND'000,Tungsten VND'000,Others VND'000,Total VND'000,numeric__Copper VND'000,numeric__Fluorspar VND'000,numeric__Tungsten VND'000,numeric__Others VND'000,numeric__Total VND'000
Segment net revenue,Segment net revenue,Segment net revenue,"1,484,480,457","1,332,361,607","11,427,563,238","91,923,425","14,336,328,727",,,,,
Segment gross profit/(loss),Segment gross profit/(loss),Segment gross profit/(loss),"699,851,558","798,732,467","(620,357,011)","14,479,607","892,706,621",,,,,
Unallocated expenses,Unallocated expenses,Unallocated expenses,,,,,"(814,036,345)",,,,,
Financial income,Financial income,Financial income,,,,,"1,917,333,501",,,,,
Financial expenses,Financial expenses,Financial expenses,,,,,"(2,284,396,141)",,,,,
Share of profit in associates,Share of profit in associates,Share of profit in associates,,,,,"30,316,644",,,,,
Net operating loss,Net operating loss,Net operating loss,,,,,"(258,075,720)",,,,,
Other income,Other income,Other income,,,,,"69,542,334",,,,,
Other expenses,Other expenses,Other expenses,,,,,"(745,036,300)",,,,,
Income tax expenses,Income tax expenses,Income tax expenses,,,,,"(653,028,964)",,,,,
Net loss after tax,Net loss after tax,Net loss after tax,,,,,"(1,586,598,650)",,,,,
