row_label_raw,row_label_full,Năm 2025,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > Các bộ phậnkhácNghìn VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > Tổng cộngNghìn VND,numeric__ĐồngNghìn VND,numeric__FluoritNghìn VND,numeric__VonframNghìn VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > Các bộ phậnkhácNghìn VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > Tổng cộngNghìn VND
Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,-,4.541.232,1.690.195,-,6.231.427,,4541232.0,1690195.0,,6231427.0
Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,273.625.405,,,,,273625405.0
Khấu hao tài sản cố định của bộ phận,Khấu hao tài sản cố định của bộ phận,Khấu hao tài sản cố định của bộ phận,5.879.717,23.615.605,89.965.651,34.884.247,154.345.220,5879717.0,23615605.0,89965651.0,34884247.0,154345220.0
Khấu hao tài sản cố định không phân bổ,Khấu hao tài sản cố định không phân bổ,Khấu hao tài sản cố định không phân bổ,,,,,513.116.926,,,,,513116926.0
Chi phí trả trước dài hạn kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,Chi phí trả trước dài hạn kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,Chi phí trả trước dài hạn kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,,,,,351.996.964,,,,,351996964.0
Năm 2024,Năm 2024,Năm 2024,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Các bộ phậnkhácNghìn VND,Tổng cộngNghìn VND,,,,,
Chi tiêu vốn của bộ phận,Năm 2024 > Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,645.508,1.149.000,9.578.277,-,11.372.785,645508.0,1149000.0,9578277.0,,11372785.0
Chi tiêu vốn không phân bổ,Năm 2024 > Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,524.642.849,,,,,524642849.0
Khấu hao tài sản cố định của bộ phận,Năm 2024 > Khấu hao tài sản cố định của bộ phận,Khấu hao tài sản cố định của bộ phận,8.153.155,33.379.157,585.680.286,114.876.320,742.088.918,8153155.0,33379157.0,585680286.0,114876320.0,742088918.0
Khấu hao tài sản cố định không phân bổ,Năm 2024 > Khấu hao tài sản cố định không phân bổ,Khấu hao tài sản cố định không phân bổ,,,,,599.483.131,,,,,599483131.0
Chi phí trả trước dài hạn kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,Năm 2024 > Chi phí trả trước dài hạn kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,Chi phí trả trước dài hạn kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,,,,,372.500.537,,,,,372500537.0
