row_label_raw,row_label_full,col_0,Currency,Currency_1,31/12/2025VND’000,1/1/2025VND’000,numeric__Currency,numeric__Currency_1,numeric__31/12/2025VND’000,numeric__1/1/2025VND’000
Secured bond issued (*),Secured bond issued (*),Secured bond issued (*),(i),VND,"8,221,607,756","8,198,117,852",,,,
Secured bank borrowing,Secured bank borrowing,Secured bank borrowing,(ii),VND,"397,740,262","502,545,756",,,,
Unsecured borrowing from related party,Unsecured borrowing from related party,Unsecured borrowing from related party,,VND,-,"239,838,000",,,,
,,,,,"8,619,348,018","8,940,501,608",,,,
