row_label_raw,row_label_full,col_0,2025Nghìn VND,2024Nghìn VND,numeric__2025Nghìn VND,numeric__2024Nghìn VND
Lợi nhuận/(lỗ) kế toán trước thuế,Lợi nhuận/(lỗ) kế toán trước thuế,Lợi nhuận/(lỗ) kế toán trước thuế,48.875.983,(933.569.686),48875983.0,-933569686.0
Thuế tính theo thuế suất của Công ty,Thuế tính theo thuế suất của Công ty,Thuế tính theo thuế suất của Công ty,9.775.197,(186.713.937),9775197.0,-186713937.0
Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,8.602.187,79.947.016,8602187.0,79947016.0
Uu đãi thuế,Uu đãi thuế,Uu đãi thuế,(30.846.709),-,-30846709.0,
Ảnh hưởng của mức thuế suất khác nhau áp dụng đối với các công ty con,Ảnh hưởng của mức thuế suất khác nhau áp dụng đối với các công ty con,Ảnh hưởng của mức thuế suất khác nhau áp dụng đối với các công ty con,(41.355.144),(19.791.631),-41355144.0,-19791631.0
Ảnh hưởng của mức thuế suất khác áp dụng đối với thu nhập khác và ghi nhận thuế hoãn lại,Ảnh hưởng của mức thuế suất khác áp dụng đối với thu nhập khác và ghi nhận thuế hoãn lại,Ảnh hưởng của mức thuế suất khác áp dụng đối với thu nhập khác và ghi nhận thuế hoãn lại,(3.009.096),(41.121.301),-3009096.0,-41121301.0
Sử dụng lỗ tính thuế,Sử dụng lỗ tính thuế,Sử dụng lỗ tính thuế,(26.460),(49.941),-26460.0,-49941.0
Dự phòng (thừa)/thiếu trong những năm trước,Dự phòng (thừa)/thiếu trong những năm trước,Dự phòng (thừa)/thiếu trong những năm trước,(267.434),52.984,-267434.0,52984.0
Ghi giảm tài sản thuế thu nhập hoãn lại,Ghi giảm tài sản thuế thu nhập hoãn lại,Ghi giảm tài sản thuế thu nhập hoãn lại,-,442.502.209,,442502209.0
Tài sản thuế thu nhập hoãn lại không được ghi nhận đối với lỗ tính thuế,Tài sản thuế thu nhập hoãn lại không được ghi nhận đối với lỗ tính thuế,Tài sản thuế thu nhập hoãn lại không được ghi nhận đối với lỗ tính thuế,53.775.026,130.216.171,53775026.0,130216171.0
Biến động chênh lệch tạm thời không được ghi nhận,Biến động chênh lệch tạm thời không được ghi nhận,Biến động chênh lệch tạm thời không được ghi nhận,40.935.453,247.987.394,40935453.0,247987394.0
,,,37.583.020,653.028.964,37583020.0,653028964.0
