row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2025Nghìn VND,1/1/2025Nghìn VND,,
Các bên liên quan,Các bên liên quan,Các bên liên quan,Các bên liên quan,Các bên liên quan,,
Công ty Cổ phần Tập đoàn Masan – Công ty mẹ cấp cao nhất,Các bên liên quan > Công ty Cổ phần Tập đoàn Masan – Công ty mẹ cấp cao nhất,Công ty Cổ phần Tập đoàn Masan – Công ty mẹ cấp cao nhất,10.717.066,1.140.246,10717066.0,1140246.0
Công ty Cổ phần Hàng tiêu dùng Masan,Các bên liên quan > Công ty Cổ phần Hàng tiêu dùng Masan,Công ty Cổ phần Hàng tiêu dùng Masan,109.873,239.795,109873.0,239795.0
Công ty Cổ phần Dịch vụ Thương mại Tổng hợp Wincommerce,Các bên liên quan > Công ty Cổ phần Dịch vụ Thương mại Tổng hợp Wincommerce,Công ty Cổ phần Dịch vụ Thương mại Tổng hợp Wincommerce,19.215,83.886,19215.0,83886.0
Công ty Cổ phần Chứng khoán Kỹ thương,Các bên liên quan > Công ty Cổ phần Chứng khoán Kỹ thương,Công ty Cổ phần Chứng khoán Kỹ thương,-,26.840.000,,26840000.0
Các bên khác,Các bên khác,Các bên khác,Các bên khác,Các bên khác,,
TaeguTec Ltd.,Các bên khác > TaeguTec Ltd.,TaeguTec Ltd.,549.721.407,-,549721407.0,
A.L.M.T. Corp.,Các bên khác > A.L.M.T. Corp.,A.L.M.T. Corp.,171.486.370,-,171486370.0,
Các nhà cung cấp khác,Các bên khác > Các nhà cung cấp khác,Các nhà cung cấp khác,462.404.170,437.677.631,462404170.0,437677631.0
,,,1.194.458.101,465.981.558,1194458101.0,465981558.0
