row_label_raw,row_label_full,col_0,2025VND'000,2024VND'000,numeric__2025VND'000,numeric__2024VND'000
Accounting profit/(loss) before tax,Accounting profit/(loss) before tax,Accounting profit/(loss) before tax,"48,875,983","(933,569,686)",,
Tax at the Company's tax rate,Tax at the Company's tax rate,Tax at the Company's tax rate,"9,775,197","(186,713,937)",,
Non-deductible expenses,Non-deductible expenses,Non-deductible expenses,"8,602,187","79,947,016",,
Tax incentives,Tax incentives,Tax incentives,"(30,846,709)",-,,
Effect of different tax rates in subsidiaries,Effect of different tax rates in subsidiaries,Effect of different tax rates in subsidiaries,"(41,355,144)","(19,791,631)",,
Effect of different tax rates on other income and recognition of deferred tax,Effect of different tax rates on other income and recognition of deferred tax,Effect of different tax rates on other income and recognition of deferred tax,"(3,009,096)","(41,121,301)",,
Tax losses utilised,Effect of different tax rates on other income and recognition of deferred tax > Tax losses utilised,Tax losses utilised,"(26,460)","(49,941)",-26.46,-49.941
(Over)/under provision in prior years,Effect of different tax rates on other income and recognition of deferred tax > (Over)/under provision in prior years,(Over)/under provision in prior years,"(267,434)","52,984",-267.434,52.984
Write-down of deferred tax assets,Write-down of deferred tax assets,Write-down of deferred tax assets,-,"442,502,209",,
Deferred tax assets not recognised in respect of tax losses,Deferred tax assets not recognised in respect of tax losses,Deferred tax assets not recognised in respect of tax losses,"53,775,026","130,216,171",,
Changes in unrecognised temporary differences,Changes in unrecognised temporary differences,Changes in unrecognised temporary differences,"40,935,453","247,987,394",,
,,,"37,583,020","653,028,964",,
