row_label_raw,row_label_full,col_0,1/1/2025 VND'000,Incurred VND'000,Paid/offset VND'000,31/12/2025 VND'000,numeric__1/1/2025 VND'000,numeric__Incurred VND'000,numeric__Paid/offset VND'000,numeric__31/12/2025 VND'000
Value added tax,Value added tax,Value added tax,-,"490,319,987","(490,319,987)",-,,,,
Import-export tax,Value added tax > Import-export tax,Import-export tax,"105,107","190,164,635","(190,269,742)",-,105.107,,,
Corporate income tax,Corporate income tax,Corporate income tax,"211,848,624","33,504,306","(216,506,905)","28,846,025",,,,
Environment protection fee,Environment protection fee,Environment protection fee,-,"5,866,211","(5,866,211)",-,,,,
Personal income tax,Personal income tax,Personal income tax,"6,009,817","50,264,544","(53,339,888)","2,934,473",,,,
Natural resource tax,Natural resource tax,Natural resource tax,-,"215,341,959","(215,341,959)",-,,,,
Other taxes,Natural resource tax > Other taxes,Other taxes,"731,076","23,489,724","(23,269,735)","951,065",731.076,,,951.065
,,,"218,694,624","1,008,951,366","(1,194,914,427)","32,731,563",,,,
