row_label_raw,row_label_full,col_0,Software VND'000,Mining rights VND'000,Total VND'000,numeric__Software VND'000,numeric__Mining rights VND'000,numeric__Total VND'000
Cost,Cost,Cost,Cost,Cost,Cost,,,
Opening and closing balances,Opening and closing balances,Opening and closing balances,"112,027,050","792,655,211","904,682,261",,,
Accumulated amortisation,Accumulated amortisation,Accumulated amortisation,Accumulated amortisation,Accumulated amortisation,Accumulated amortisation,,,
Opening balance,Opening balance,Opening balance,"108,923,003","358,332,524","467,255,527",,,
Charge for the year,Opening balance > Charge for the year,Charge for the year,"786,698","37,767,191","38,553,889",786.698,,
Closing balance,Closing balance,Closing balance,"109,709,701","396,099,715","505,809,416",,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,
Opening balance,Opening balance,Opening balance,"3,104,047","434,322,687","437,426,734",,,
Closing balance,Closing balance,Closing balance,"2,317,349","396,555,496","398,872,845",,,
