row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2025Nghin VND,2024Nghin VND,numeric__Mã số,numeric__Thuyết minh,numeric__2025Nghin VND,numeric__2024Nghin VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
Lợi nhuận/(lỗ) trước thuếĐiều chỉnh cho các khoản,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận/(lỗ) trước thuếĐiều chỉnh cho các khoản,Lợi nhuận/(lỗ) trước thuếĐiều chỉnh cho các khoản,01,,48.875.983,(933.569.686),1.0,,48875983.0,-933569686.0
Khấu hao,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Khấu hao,Khấu hao,02,,667.462.146,1.341.572.049,2.0,,667462146.0,1341572049.0
Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá hối đoái do đánh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá hối đoái do đánh,Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá hối đoái do đánh,03,,(47.475.780),153.488.231,3.0,,-47475780.0,153488231.0
giá lại các khoản mục tiền tệ có gốc ngoại tệ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > giá lại các khoản mục tiền tệ có gốc ngoại tệ,giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,,(16.482.885),11.345.063,4.0,,-16482885.0,11345063.0
Lỗ/(lãi) từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lỗ/(lãi) từ hoạt động đầu tư,Lỗ/(lãi) từ hoạt động đầu tư,05,,15.850.947,(870.761.151),5.0,,15850947.0,-870761151.0
Chi phí lãi vay và chi phí đi vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Chi phí lãi vay và chi phí đi vay,Chi phí lãi vay và chi phí đi vay,06,,1.107.021.012,1.447.186.979,6.0,,1107021012.0,1447186979.0
Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,,1.775.251.423,1.149.261.485,8.0,,1775251423.0,1149261485.0
Biến động các khoản phải thu và tài sản khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải thu và tài sản khác,Biến động các khoản phải thu và tài sản khác,09,,(72.336.158),93.473.002,9.0,,-72336158.0,93473002.0
Biến động hàng tồn kho,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động hàng tồn kho,Biến động hàng tồn kho,10,,142.602.125,725.723.409,10.0,,142602125.0,725723409.0
Biến động các khoản phải trả và nợ phải trả khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,,657.703.471,1.349.249.685,11.0,,657703471.0,1349249685.0
Biến động chi phí trả trước,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động chi phí trả trước,Biến động chi phí trả trước,12,,156.462.523,114.547.335,12.0,,156462523.0,114547335.0
Biến động chứng khoán kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động chứng khoán kinh doanh,Biến động chứng khoán kinh doanh,13,,(364.962.353),-,13.0,,-364962353.0,
,,,,,2.294.721.031,3.432.254.916,,,2294721031.0,3432254916.0
Tiền lãi vay đã trả,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(1.023.669.886),(1.557.979.234),14.0,,-1023669886.0,-1557979234.0
Thuế thu nhập doanh nghiệp đã nộp,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,,(216.506.905),(102.182.327),15.0,,-216506905.0,-102182327.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,1.054.544.240,1.772.093.355,20.0,,1054544240.0,1772093355.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
