row_label_raw,row_label_full,col_0,31/12/2025VND'000,1/1/2025VND'000,numeric__31/12/2025VND'000,numeric__1/1/2025VND'000
Other short-term receivables,Other short-term receivables,Other short-term receivables,Other short-term receivables,Other short-term receivables,,
Receivable for mining rights fee (a),Receivable for mining rights fee (a),Receivable for mining rights fee (a),"980,845,909","980,845,909",,
Other receivables from the immediate parent company,Other receivables from the immediate parent company,Other receivables from the immediate parent company,"130,000,000",-,,
Interest receivables from the intermediate parent company,Interest receivables from the intermediate parent company,Interest receivables from the intermediate parent company,"18,471,575",-,,
Insurance claim receivables,Insurance claim receivables,Insurance claim receivables,-,"9,653,040",,
Import tax receivables,Import tax receivables,Import tax receivables,"2,075,867","2,075,867",,
Others,Import tax receivables > Others,Others,"6,041,907","579,267",,579.267
,,,"1,137,435,258","993,154,083",,
Other long-term receivables,Other long-term receivables,Other long-term receivables,Other long-term receivables,Other long-term receivables,,
Land compensation receivable from Thai Nguyen People's Committee (b),Land compensation receivable from Thai Nguyen People's Committee (b),Land compensation receivable from Thai Nguyen People's Committee (b),"1,009,194,924","1,094,091,069",,
Deposit paid to Environment Protection Fund (c),Deposit paid to Environment Protection Fund (c),Deposit paid to Environment Protection Fund (c),"130,988,256","104,666,261",,
Others,Deposit paid to Environment Protection Fund (c) > Others,Others,"582,827","582,827",582.827,582.827
,,,"1,140,766,007","1,199,340,157",,
