row_label_raw,row_label_full,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Tại ngày 31 tháng 12 năm 2025,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > ĐồngNghìn VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > FluoritNghìn VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > VonframNghìn VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Các bộ phậnkhácNghìn VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Tổng cộngNghìn VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > ĐồngNghìn VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > FluoritNghìn VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > VonframNghìn VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Các bộ phậnkhácNghìn VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Tổng cộngNghìn VND
Tải sản của bộ phận,Tải sản của bộ phận,Tải sản của bộ phận,106.917.884,580.280.241,2.623.104.574,692.477.561,4.002.780.260,106917884.0,580280241.0,2623104574.0,692477561.0,4002780260.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,,,,,22.457.555.044,,,,,22457555044.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,26.460.335.304,,,,,26460335304.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,14.278.657.825,,,,,14278657825.0
Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Các bộ phậnkhácNghìn VND,Tổng cộngNghìn VND,,,,,
Tải sản của bộ phận,Tại ngày 1 tháng 1 năm 2025 > Tải sản của bộ phận,Tải sản của bộ phận,112.709.737,603.559.239,2.651.826.789,727.424.345,4.095.520.110,112709737.0,603559239.0,2651826789.0,727424345.0,4095520110.0
Tải sản không phân bổ,Tại ngày 1 tháng 1 năm 2025 > Tải sản không phân bổ,Tải sản không phân bổ,,,,,22.871.006.890,,,,,22871006890.0
Tổng tài sản,Tại ngày 1 tháng 1 năm 2025 > Tổng tài sản,Tổng tài sản,,,,,26.966.527.000,,,,,26966527000.0
Tổng nợ phải trả,Tại ngày 1 tháng 1 năm 2025 > Tổng nợ phải trả,Tổng nợ phải trả,,,,,14.802.833.484,,,,,14802833484.0
