row_label_raw,row_label_full,col_0,Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTCdated 22 December 2014 of the Ministry of Finance),Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTCdated 22 December 2014 of the Ministry of Finance)_1,Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTCdated 22 December 2014 of the Ministry of Finance)_2,Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTCdated 22 December 2014 of the Ministry of Finance)_3,Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTCdated 22 December 2014 of the Ministry of Finance)_4,numeric__Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTCdated 22 December 2014 of the Ministry of Finance),numeric__Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTCdated 22 December 2014 of the Ministry of Finance)_1,numeric__Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTCdated 22 December 2014 of the Ministry of Finance)_2,numeric__Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTCdated 22 December 2014 of the Ministry of Finance)_3,numeric__Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTCdated 22 December 2014 of the Ministry of Finance)_4
Segment reporting,Segment reporting,Segment reporting,Segment reporting,Segment reporting,Segment reporting,Segment reporting,Segment reporting,,,,,
Business segments,Business segments,Business segments,Business segments,Business segments,Business segments,Business segments,Business segments,,,,,
The Group comprises the following business segments:,The Group comprises the following business segments:,The Group comprises the following business segments:,The Group comprises the following business segments:,The Group comprises the following business segments:,The Group comprises the following business segments:,The Group comprises the following business segments:,The Group comprises the following business segments:,,,,,
2025,2025,2025,CopperVND’000,FluorsparVND’000,TungstenVND’000,OthersVND’000,TotalVND’000,,,,,
Segment net revenue,Segment net revenue,Segment net revenue,"1,324,825,399","1,431,949,862","4,466,869,753","219,078,794","7,442,723,808",,,,,
Segment gross profit/(loss),Segment gross profit/(loss),Segment gross profit/(loss),"634,981,624","945,154,393","(315,568,197)","110,762,062","1,375,329,882",,,,,
Unallocated expenses,Unallocated expenses,Unallocated expenses,,,,,"(177,778,500)",,,,,
Financial income,Financial income,Financial income,,,,,"183,847,389",,,,,
Financial expenses,Financial expenses,Financial expenses,,,,,"(1,253,463,817)",,,,,
Net operating profit,Net operating profit,Net operating profit,,,,,"127,934,954",,,,,
Other income,Other income,Other income,,,,,"10,214,490",,,,,
Other expenses,Other expenses,Other expenses,,,,,"(89,273,461)",,,,,
Income tax expenses,Income tax expenses,Income tax expenses,,,,,"(37,583,020)",,,,,
Net profit after tax,Net profit after tax,Net profit after tax,,,,,"11,292,963",,,,,
