row_label_raw,row_label_full,col_0,31/12/2025VND'000,1/1/2025VND'000,numeric__31/12/2025VND'000,numeric__1/1/2025VND'000
Tailing dams,Tailing dams,Tailing dams,"71,211,898","210,685,794",,
"Plant, machinery and equipment","Plant, machinery and equipment","Plant, machinery and equipment","48,039,376","172,812,110",,
Other assets,Other assets,Other assets,"44,596,676","164,932,413",,
Land compensation,Land compensation,Land compensation,-,"431,771,817",,
"Site clearance, relocation of infrastructure and others","Site clearance, relocation of infrastructure and others","Site clearance, relocation of infrastructure and others",-,"229,070,605",,
,,,"163,847,950","1,209,272,739",,
