row_label_raw,row_label_full,Name,Address,Principal activity,Percentage of economic interests at > 31/12/2025,Percentage of economic interests at > 1/1/2025,numeric__Address,numeric__Principal activity,numeric__Percentage of economic interests at > 31/12/2025,numeric__Percentage of economic interests at > 1/1/2025
Direct subsidiary,Direct subsidiary,Direct subsidiary,Direct subsidiary,Direct subsidiary,Direct subsidiary,Direct subsidiary,,,,
Masan Thai Nguyen Resources Company Limited (“MRTN”),Direct subsidiary > Masan Thai Nguyen Resources Company Limited (“MRTN”),Masan Thai Nguyen Resources Company Limited (“MRTN”),Ho Chi Minh City,Investment management,100%,100%,,,1.0,1.0
Indirect subsidiaries,Indirect subsidiaries,Indirect subsidiaries,Indirect subsidiaries,Indirect subsidiaries,Indirect subsidiaries,Indirect subsidiaries,,,,
Thai Nguyen Trading and Investment Company Ltd (“TNTI”),Indirect subsidiaries > Thai Nguyen Trading and Investment Company Ltd (“TNTI”),Thai Nguyen Trading and Investment Company Ltd (“TNTI”),Ho Chi Minh City,Investment management,100%,100%,,,1.0,1.0
Nui Phao Mining Company Limited (“NPM”) (*),Indirect subsidiaries > Nui Phao Mining Company Limited (“NPM”) (*),Nui Phao Mining Company Limited (“NPM”) (*),Thai Nguyen Province,Exploring and processing mineral,100%,100%,,,1.0,1.0
Masan Tungsten Limited Liability Company (“MTC”),Indirect subsidiaries > Masan Tungsten Limited Liability Company (“MTC”),Masan Tungsten Limited Liability Company (“MTC”),Thai Nguyen Province,Deep processing of nonferrous metals and precious metals (Tungsten),100%,100%,,,1.0,1.0
