row_label_raw,row_label_full,col_0,Code,Note,2025 VND'000,2024 VND'000,numeric__Code,numeric__Note,numeric__2025 VND'000,numeric__2024 VND'000
Revenue from sales of goods and provision of services,Revenue from sales of goods and provision of services,Revenue from sales of goods and provision of services,01,25,"7,442,723,808","14,345,267,406",1.0,25.0,,
Revenue deductions,Revenue deductions,Revenue deductions,02,25,-,"8,938,679",2.0,25.0,,
Net revenue (10 = 01 - 02),Net revenue (10 = 01 - 02),Net revenue (10 = 01 - 02),10,25,"7,442,723,808","14,336,328,727",10.0,25.0,,
Cost of sales,Cost of sales,Cost of sales,11,,"6,067,393,926","13,443,622,106",11.0,,,
Gross profit (20 = 10 - 11),Gross profit (20 = 10 - 11),Gross profit (20 = 10 - 11),20,,"1,375,329,882","892,706,621",20.0,,,
Financial income,Financial income,Financial income,21,26,"183,847,389","1,917,333,501",21.0,26.0,,
Financial expenses,Financial expenses,Financial expenses,22,27,"1,253,463,817","2,284,396,141",22.0,27.0,,
In which: Interest expenses,In which: Interest expenses,In which: Interest expenses,23,,"1,020,071,938","1,371,669,159",23.0,,,
Share of profit in associates,Share of profit in associates,Share of profit in associates,24,,-,"30,316,644",24.0,,,
Selling expenses,Selling expenses,Selling expenses,25,28,"99,168,649","361,709,384",25.0,28.0,,
General and administration expenses,General and administration expenses,General and administration expenses,26,29,"78,609,851","452,326,961",26.0,29.0,,
Net operating profit/(loss){30 = 20 + (21 - 22) + 24 - (25 + 26)},Net operating profit/(loss){30 = 20 + (21 - 22) + 24 - (25 + 26)},Net operating profit/(loss){30 = 20 + (21 - 22) + 24 - (25 + 26)},30,,"127,934,954","(258,075,720)",30.0,,,
Other income,Other income,Other income,31,30,"10,214,490","69,542,334",31.0,30.0,,
Other expenses,Other expenses,Other expenses,32,31,"89,273,461","745,036,300",32.0,31.0,,
Results of other activities(40 = 31 - 32),Results of other activities(40 = 31 - 32),Results of other activities(40 = 31 - 32),40,,"(79,058,971)","(675,493,966)",40.0,,,
Accounting profit/(loss) before tax(50 = 30 + 40),Accounting profit/(loss) before tax(50 = 30 + 40),Accounting profit/(loss) before tax(50 = 30 + 40),50,,"48,875,983","(933,569,686)",50.0,,,
Income tax expense – current,Income tax expense – current,Income tax expense – current,51,32,"33,504,306","309,709,189",51.0,32.0,,
Income tax expense – deferred,Income tax expense – deferred,Income tax expense – deferred,52,32,"4,078,714","343,319,775",52.0,32.0,,
Net profit/(loss) after tax(60 = 50 - 51 - 52)(carried forward to next page),Net profit/(loss) after tax(60 = 50 - 51 - 52)(carried forward to next page),Net profit/(loss) after tax(60 = 50 - 51 - 52)(carried forward to next page),60,,"11,292,963","(1,586,598,650)",60.0,,,
