row_label_raw,row_label_full,col_0,2025VND’000,2024VND’000,numeric__2025VND’000,numeric__2024VND’000
Losses due to write-off of construction in progress and other assets,Losses due to write-off of construction in progress and other assets,Losses due to write-off of construction in progress and other assets,"66,226,472","544,950,624",,
Charity donations,Charity donations,Charity donations,-,"100,000,000",,
Others,Others,Others,"23,046,989","100,085,676",,
,,,"89,273,461","745,036,300",,
