row_label_raw,row_label_full,col_0,Code,Note,31/12/2025VND'000,1/1/2025VND'000,numeric__Code,numeric__Note,numeric__31/12/2025VND'000,numeric__1/1/2025VND'000
ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,,,,
Current assets(100 = 110 + 120 + 130 + 140 + 150),ASSETS > Current assets(100 = 110 + 120 + 130 + 140 + 150),Current assets(100 = 110 + 120 + 130 + 140 + 150),100,,"7,244,781,522","6,992,043,391",100.0,,,
Cash and cash equivalents,ASSETS > Cash and cash equivalents,Cash and cash equivalents,110,5,"570,211,947","1,468,795,621",110.0,5.0,,
Cash,ASSETS > Cash,Cash,111,,"145,211,947","1,468,795,621",111.0,,,
Cash equivalents,ASSETS > Cash equivalents,Cash equivalents,112,,"425,000,000",-,112.0,,,
Short-term financial investments,ASSETS > Short-term financial investments,Short-term financial investments,120,,"364,962,353",-,120.0,,,
Trading securities,ASSETS > Trading securities,Trading securities,121,6,"364,962,353",-,121.0,6.0,,
Accounts receivable – short-term,ASSETS > Accounts receivable – short-term,Accounts receivable – short-term,130,,"2,693,152,824","1,873,471,973",130.0,,,
Accounts receivable from customers,ASSETS > Accounts receivable from customers,Accounts receivable from customers,131,7,"777,487,739","789,719,771",131.0,7.0,,
Prepayments to suppliers,ASSETS > Prepayments to suppliers,Prepayments to suppliers,132,,"86,729,827","99,262,520",132.0,,,
Loans receivable,ASSETS > Loans receivable,Loans receivable,135,8,"691,500,000",-,135.0,8.0,,
Other receivables,ASSETS > Other receivables,Other receivables,136,9,"1,137,435,258","993,154,083",136.0,9.0,,
Allowance for doubtful debts,ASSETS > Allowance for doubtful debts,Allowance for doubtful debts,137,,-,"(8,664,401)",137.0,,,
Inventories,ASSETS > Inventories,Inventories,140,10,"2,875,400,142","2,967,555,729",140.0,10.0,,
Inventories,ASSETS > Inventories,Inventories,141,,"2,928,945,068","3,071,547,193",141.0,,,
Allowance for inventories,ASSETS > Allowance for inventories,Allowance for inventories,149,,"(53,544,926)","(103,991,464)",149.0,,,
Other current assets,ASSETS > Other current assets,Other current assets,150,,"741,054,256","682,220,068",150.0,,,
Short-term prepaid expenses,ASSETS > Short-term prepaid expenses,Short-term prepaid expenses,151,,"56,007,417","36,157,125",151.0,,,
Deductible value added tax,ASSETS > Deductible value added tax,Deductible value added tax,152,,"685,046,839","646,062,943",152.0,,,
