row_label_raw,row_label_full,col_0,31/12/2025 > Loại tiền,31/12/2025 > Lãi suất năm(%),31/12/2025 > Nghìn VND,1/1/2025 > Lãi suất năm(%),1/1/2025 > Nghìn VND,numeric__31/12/2025 > Loại tiền,numeric__31/12/2025 > Lãi suất năm(%),numeric__31/12/2025 > Nghìn VND,numeric__1/1/2025 > Lãi suất năm(%),numeric__1/1/2025 > Nghìn VND
Khoản vay ngân hàng được đảm bảo (*) (**),Khoản vay ngân hàng được đảm bảo (*) (**),Khoản vay ngân hàng được đảm bảo (*) (**),VND,"5,50 - 6,50",404.919.053,"6,00 - 8,11",556.286.554,,,404919053.0,,556286554.0
Khoản vay ngân hàng được đảm bảo (*) (**),Khoản vay ngân hàng được đảm bảo (*) (**),Khoản vay ngân hàng được đảm bảo (*) (**),USD,"5,00 - 6,60",1.805.491.823,"5,50 - 8,20",2.151.538.731,,,1805491823.0,,2151538731.0
Khoản vay ngân hàng không được đảm bảo,Khoản vay ngân hàng không được đảm bảo,Khoản vay ngân hàng không được đảm bảo,VND,"6,03",5.373.709,"5,20 - 5,90",272.701.174,,6.03,5373709.0,,272701174.0
Khoản vay ngân hàng không được đảm bảo,Khoản vay ngân hàng không được đảm bảo,Khoản vay ngân hàng không được đảm bảo,USD,"4,70 - 6,80",469.258.725,"7,30 - 8,40",304.301.242,,,469258725.0,,304301242.0
,,,,,2.685.043.310,,3.284.827.701,,,2685043310.0,,3284827701.0
