row_label_raw,row_label_full,Khoản mục > 01/01/2020 > - Tăng vốn trong năm > - Lãi trong năm,Vốn đầu tư của chủ sở hữu > VND > 2.547.302.470.000 > -,Thặng dư vốn cổ phần > VND > 70.045.649.714 > -,Quyền chọn chuyển đổi trải phiếu > VND > 22.368.782.096 > -,Vốn khác của chủ sở hữu > VND > 80.481.887.391 > -,Quỹ đầu tư phát triển > VND > 886.852.413 > -,Lợi nhuận sau thuế chưa phân phối > VND > 275.944.516.773 > - > 56.452.563.446,Lợi ích cổ đông không kiểm soát > VND > 1.049.640.161.403 > 19.020.000.000 > 26.898.866.395,Tổng cộng > VND > 4.046.670.319.790 > 19.020.000.000 > 83.351.429.841,numeric__Vốn đầu tư của chủ sở hữu > VND > 2.547.302.470.000 > -,numeric__Thặng dư vốn cổ phần > VND > 70.045.649.714 > -,numeric__Quyền chọn chuyển đổi trải phiếu > VND > 22.368.782.096 > -,numeric__Vốn khác của chủ sở hữu > VND > 80.481.887.391 > -,numeric__Quỹ đầu tư phát triển > VND > 886.852.413 > -,numeric__Lợi nhuận sau thuế chưa phân phối > VND > 275.944.516.773 > - > 56.452.563.446,numeric__Lợi ích cổ đông không kiểm soát > VND > 1.049.640.161.403 > 19.020.000.000 > 26.898.866.395,numeric__Tổng cộng > VND > 4.046.670.319.790 > 19.020.000.000 > 83.351.429.841
- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,(1.777.679.026),(793.569.878),(2.571.248.904),,,,,,-1777679026.0,-793569878.0,-2571248904.0
- CDKKS chuyển nhượng vốn cho công ty mẹ,- CDKKS chuyển nhượng vốn cho công ty mẹ,- CDKKS chuyển nhượng vốn cho công ty mẹ,-,-,-,-,-,(8.099.182.342),(89.400.817.658),(97.500.000.000),,,,,,-8099182342.0,-89400817658.0,-97500000000.0
- Tăng/Giảm khác,- Tăng/Giảm khác,- Tăng/Giảm khác,-,-,-,-,-,(2.783.500.649),393.446.233,(2.390.054.416),,,,,,-2783500649.0,393446233.0,-2390054416.0
31/12/2020,31/12/2020,31/12/2020,2.547.302.470.000,70.045.649.714,22.368.782.096,80.481.887.391,886.852.413,319.736.718.202,1.005.758.086.494,4.046.580.446.311,2547302470000.0,70045649714.0,22368782096.0,80481887391.0,886852413.0,319736718202.0,1005758086494.0,4046580446311.0
01/01/2021,01/01/2021,01/01/2021,2.547.302.470.000,70.045.649.714,22.368.782.096,80.481.887.391,886.852.413,319.736.718.203,1.005.758.086.494,4.046.580.446.311,2547302470000.0,70045649714.0,22368782096.0,80481887391.0,886852413.0,319736718203.0,1005758086494.0,4046580446311.0
- Tăng vốn trong năm (1),- Tăng vốn trong năm (1),- Tăng vốn trong năm (1),80.000.000.000,-,-,-,-,-,-,80.000.000.000,80000000000.0,,,,,,,80000000000.0
- Công ty Cổ phần Dược phẩm Cửu Long tăng vốn (2),- Công ty Cổ phần Dược phẩm Cửu Long tăng vốn (2),- Công ty Cổ phần Dược phẩm Cửu Long tăng vốn (2),-,(183.522.237),-,-,-,(8.852.873.366),29.036.395.603,20.000.000.000,,-183522237.0,,,,-8852873366.0,29036395603.0,20000000000.0
- Công ty Cổ phần nước khoảng Khánh Hòa tăng vốn (2),- Công ty Cổ phần nước khoảng Khánh Hòa tăng vốn (2),- Công ty Cổ phần nước khoảng Khánh Hòa tăng vốn (2),-,-,-,-,(222.872.785),(919.762.388),6.142.635.173,5.000.000.000,,,,,-222872785.0,-919762388.0,6142635173.0,5000000000.0
- Công ty Cổ phần Chế biển Thực phẩm Xuất khẩu Miền Tây tăng vốn (2),- Công ty Cổ phần Chế biển Thực phẩm Xuất khẩu Miền Tây tăng vốn (2),- Công ty Cổ phần Chế biển Thực phẩm Xuất khẩu Miền Tây tăng vốn (2),-,-,-,-,(17.590.848),"(374.470.469,00)",2.861.061.317,2.469.000.000,,,,,-17590848.0,-374470469.0,2861061317.0,2469000000.0
- Lãi trong năm,- Lãi trong năm,- Lãi trong năm,-,-,-,-,-,157.968.627.218,73.502.563.457,231.471.190.675,,,,,,157968627218.0,73502563457.0,231471190675.0
- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,(1.864.987.536),(1.067.398.677),(2.932.386.213),,,,,,-1864987536.0,-1067398677.0,-2932386213.0
- Tăng do hợp nhất Công ty con (hợp nhất Vikoda),- Tăng do hợp nhất Công ty con (hợp nhất Vikoda),- Tăng do hợp nhất Công ty con (hợp nhất Vikoda),-,-,-,-,-,4.969.569.288,38.204.992.415,43.174.561.703,,,,,,4969569288.0,38204992415.0,43174561703.0
- Giảm do hợp nhất Công ty Dược Cửu Long (tăng ty lệ góp vốn vào Công ty con),- Giảm do hợp nhất Công ty Dược Cửu Long (tăng ty lệ góp vốn vào Công ty con),- Giảm do hợp nhất Công ty Dược Cửu Long (tăng ty lệ góp vốn vào Công ty con),-,-,-,-,-,(7.988.363.066),(22.411.636.934),(30.400.000.000),,,,,,-7988363066.0,-22411636934.0,-30400000000.0
- Điều chỉnh do thời vốn Công ty con trong năm,- Điều chỉnh do thời vốn Công ty con trong năm,- Điều chỉnh do thời vốn Công ty con trong năm,-,-,-,-,-,65.713.758.856,265.214.935.143,330.928.693.999,,,,,,65713758856.0,265214935143.0,330928693999.0
- Kết chuyển quyền chọn trải phiếu,- Kết chuyển quyền chọn trải phiếu,- Kết chuyển quyền chọn trải phiếu,-,5.398.565.721,(22.368.782.096),-,-,-,(7.259.451.008),(24.229.667.383),,5398565721.0,-22368782096.0,,,,-7259451008.0,-24229667383.0
- Tăng/Giảm khác,- Tăng/Giảm khác,- Tăng/Giảm khác,-,-,-,-,-,(758.140.395),(1.594.767.280),(2.352.907.675),,,,,,-758140395.0,-1594767280.0,-2352907675.0
31/12/2021,31/12/2021,31/12/2021,2.627.302.470.000,75.260.693.198,-,80.481.887.391,646.388.781,527.630.076.345,1.388.387.415.703,4.699.708.931.418,2627302470000.0,75260693198.0,,80481887391.0,646388781.0,527630076345.0,1388387415703.0,4699708931418.0
